msa,m_new_house_p,Income2Q,households,priced-out 
"Abilene, TX MSA",240384,71059,62311,144
"Akron, OH MSA",269153,75822,293691,407
"Albany, GA MSA",140973,38181,56249,160
"Albany-Schenectady-Troy, NY MSA",401105,117214,336867,369
"Albuquerque, NM MSA",225407,57214,344294,659
"Alexandria, LA MSA",207636,51993,69543,178
"Allentown-Bethlehem-Easton, PA-NJ MSA",307829,87794,318081,513
"Altoona, PA MSA",349984,92322,48629,44
"Amarillo, TX MSA",272883,83203,94499,142
"Ames, IA MSA",284375,78675,37083,53
"Anchorage, AK MSA",373186,98659,131380,192
"Anderson, IN MSA",259819,70209,47967,105
"Anderson, SC MSA",230499,56789,71988,110
"Ann Arbor, MI MSA",270400,78181,143994,233
"Anniston-Oxford, AL MSA",171771,43116,48622,117
"Appleton, WI MSA",251328,72245,87202,212
"Asheville, NC MSA",240017,58015,173969,333
"Athens-Clarke County, GA MSA",228491,58608,70685,128
"Atlanta-Sandy Springs-Marietta, GA MSA",221742,56955,1980222,4135
"Atlantic City-Hammonton, NJ MSA",299539,90537,100674,136
"Auburn-Opelika, AL MSA",314741,78066,54042,74
"Augusta-Richmond County, GA-SC MSA",208798,52477,198133,407
"Austin-Round Rock-San Marcos, TX MSA",232454,69043,667355,1285
"Bakersfield-Delano, CA MSA",241976,62459,258396,479
"Baltimore-Towson, MD MSA",228013,57989,1060179,2014
"Barnstable Town, MA MSA",616381,151432,80879,24
"Baton Rouge, LA MSA",226874,56548,306517,530
"Battle Creek, MI MSA",241340,72350,56027,114
"Bay City, MI MSA",240615,70478,45788,79
"Beaumont-Port Arthur, TX MSA",183574,55775,142970,349
"Bellingham, WA MSA",293969,72746,77203,145
"Bend, OR MSA",326459,81842,68995,101
"Billings, MT MSA",247752,63972,67882,153
"Binghamton, NY MSA",255988,82431,103527,164
"Birmingham-Hoover, AL MSA",263064,64348,447016,681
"Blacksburg-Christiansburg-Radford, VA MS",210790,52204,67158,141
"Bloomington, IN MSA",205783,51066,77320,147
"Bloomington-Normal, IL MSA",207654,62994,71053,172
"Boise City-Nampa, ID MSA",269591,66056,239837,474
"Boston-Cambridge-Quincy, MA-NH MSA",430296,111855,1749426,1829
"Boulder, CO MSA",310031,74378,128370,191
"Bowling Green, KY MSA",202515,52107,53579,93
"Bremerton-Silverdale, WA MSA",293074,74090,90100,167
"Bridgeport-Stamford-Norwalk, CT MSA",878625,240996,339772,186
"Brownsville-Harlingen, TX MSA",116704,35831,126119,478
"Brunswick, GA MSA",289183,73721,40866,59
"Buffalo-Niagara Falls, NY MSA",395105,128302,469199,266
"Burlington, NC MSA",155202,38966,56995,154
"Canton-Massillon, OH MSA",220267,60406,165387,326
"Cape Coral-Fort Myers, FL MSA",292932,80100,259094,279
"Carson City, NV MSA",343367,84201,22243,30
"Cedar Rapids, IA MSA",146885,41106,99047,218
"Champaign-Urbana, IL MSA",254760,76429,93065,141
"Charleston-North Charleston-Summerville, SC",288677,72424,269643,491
"Charlotte-Gastonia-Rock Hill, NC-SC MSA",243499,62366,683782,1181
"Charlottesville, VA MSA",262901,63558,78144,128
"Chattanooga, TN-GA MSA",182679,46376,210567,510
"Chicago-Joliet-Naperville, IL-IN-WI MSA",308424,92108,3473022,5325
"Chico, CA MSA",274636,67806,89007,128
"Cincinnati-Middletown, OH-KY-IN MSA",244344,66318,865663,1623
"Clarksville, TN-KY MSA",140513,35802,103093,306
"Cleveland, TN MSA",159148,39165,49234,138
"Cleveland-Elyria-Mentor, OH MSA",272149,79010,830043,1103
"Coeur d'Alene, ID MSA",250758,60527,55100,100
"College Station-Bryan, TX MSA",192998,56025,88453,198
"Columbia, MO MSA",214130,54865,76589,128
"Columbia, SC MSA",213026,52771,291253,670
"Columbus, GA-AL MSA",188924,47549,114070,247
"Columbus, IN MSA",270724,69587,30780,66
"Columbus, OH MSA",254712,72249,725749,1452
"Corpus Christi, TX MSA",192237,59548,163365,405
"Dallas-Fort Worth-Arlington, TX MSA",289824,89627,2412714,3676
"Dalton, GA MSA",168738,42291,48593,122
"Danville, IL MSA",130985,39651,32323,106
"Danville, VA MSA",167278,41519,49204,168
"Davenport-Moline-Rock Island, IA-IL MSA",220693,64422,158920,363
"Dayton, OH MSA",291432,84249,333881,411
"Decatur, AL MSA",179407,45017,61915,106
"Decatur, IL MSA",225354,69191,52324,109
"Deltona-Daytona Beach-Ormond Beach, FL M",357650,96058,213555,214
"Denver-Aurora-Broomfield, CO MSA",306315,74688,1049652,1791
"Des Moines-West Des Moines, IA MSA",269083,76308,245972,507
"Detroit-Warren-Livonia, MI MSA",294783,91235,1666009,2434
"Dothan, AL MSA",238111,58693,53913,93
"Dover, DE MSA",158002,37589,65290,148
"Duluth, MN-WI MSA",214426,56782,117200,287
"Durham-Chapel Hill, NC MSA",252354,65845,216839,353
"Eau Claire, WI MSA",223405,63094,64452,158
"El Centro, CA MSA",234495,59418,42914,68
"El Paso, TX MSA",171999,51310,267497,694
"Elizabethtown, KY MSA",178046,45538,48608,175
"Elkhart-Goshen, IN MSA",218863,57199,70981,161
"Erie, PA MSA",300781,88158,111662,188
"Eugene-Springfield, OR MSA",286284,73007,147425,227
"Evansville, IN-KY MSA",183817,47332,149798,256
"Fairbanks, AK MSA",228035,61929,33892,98
"Fargo, ND-MN MSA",223606,62807,91187,195
"Farmington, NM MSA",254662,62485,35965,90
"Fayetteville, NC MSA",203097,53953,147433,393
"Fayetteville-Springdale-Rogers, AR-MO MSA",271763,67378,182509,276
"Flagstaff, AZ MSA",229039,54724,49607,94
"Flint, MI MSA",225094,71795,171869,342
"Florence-Muscle Shoals, AL MSA",138411,34354,54083,175
"Fond du Lac, WI MSA",244900,71637,41020,105
"Fort Collins-Loveland, CO MSA",289367,70156,128382,199
"Fort Smith, AR-OK MSA",190863,48139,124807,289
"Fort Wayne, IN MSA",238403,62176,167061,338
"Fresno, CA MSA",293061,73897,304713,456
"Gadsden, AL MSA",170888,43165,36353,62
"Gainesville, FL MSA",202516,53567,94526,184
"Gainesville, GA MSA",207524,51934,61424,152
"Glens Falls, NY MSA",269828,77148,51033,75
"Goldsboro, NC MSA",188687,49767,45559,106
"Grand Junction, CO MSA",258995,60551,56846,88
"Grand Rapids-Wyoming, MI MSA",253115,71378,297890,641
"Greeley, CO MSA",269681,64966,96568,189
"Green Bay, WI MSA",231028,65732,124309,224
"Greensboro-High Point, NC MSA",288492,74552,295059,445
"Greenville, NC MSA",184839,48872,90674,204
