NAME,B07004A_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",549,10100
"Aberdeen, WA Micro Area",1358,10140
"Abilene, TX Metro Area",2518,10180
"Ada, OK Micro Area",450,10220
"Adrian, MI Micro Area",1274,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",6801,10420
"Alamogordo, NM Micro Area",3244,10460
"Albany, GA Metro Area",730,10500
"Albany-Lebanon, OR Metro Area",2054,10540
"Albany-Schenectady-Troy, NY Metro Area",12191,10580
"Albemarle, NC Micro Area",516,10620
"Albert Lea, MN Micro Area",220,10660
"Albertville, AL Micro Area",1086,10700
"Albuquerque, NM Metro Area",16861,10740
"Alexander City, AL Micro Area",593,10760
"Alexandria, LA Metro Area",1277,10780
"Alexandria, MN Micro Area",507,10820
"Alice, TX Micro Area",160,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",12903,10900
"Alma, MI Micro Area",235,10940
"Alpena, MI Micro Area",290,10980
"Altoona, PA Metro Area",812,11020
"Altus, OK Micro Area",1270,11060
"Amarillo, TX Metro Area",3357,11100
"Americus, GA Micro Area",132,11140
"Ames, IA Metro Area",4490,11180
"Amsterdam, NY Micro Area",470,11220
"Anchorage, AK Metro Area",10312,11260
"Andrews, TX Micro Area",242,11380
"Angola, IN Micro Area",547,11420
"Ann Arbor, MI Metro Area",11268,11460
"Anniston-Oxford, AL Metro Area",1731,11500
"Appleton, WI Metro Area",2446,11540
"Arcadia, FL Micro Area",650,11580
"Ardmore, OK Micro Area",931,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",601,11660
"Asheville, NC Metro Area",13617,11700
"Ashland, OH Micro Area",581,11740
"Ashtabula, OH Micro Area",1612,11780
"Astoria, OR Micro Area",1101,11820
"Atchison, KS Micro Area",657,11860
"Athens, OH Micro Area",1729,11900
"Athens, TN Micro Area",1053,11940
"Athens, TX Micro Area",1195,11980
"Athens-Clarke County, GA Metro Area",5023,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",66531,12060
"Atlantic City-Hammonton, NJ Metro Area",2663,12100
"Atmore, AL Micro Area",240,12120
"Auburn, IN Micro Area",291,12140
"Auburn, NY Micro Area",501,12180
"Auburn-Opelika, AL Metro Area",4828,12220
"Augusta-Richmond County, GA-SC Metro Area",14696,12260
"Augusta-Waterville, ME Micro Area",2319,12300
"Austin, MN Micro Area",674,12380
"Austin-Round Rock-Georgetown, TX Metro Area",46859,12420
"Bainbridge, GA Micro Area",309,12460
"Bakersfield, CA Metro Area",5362,12540
"Baltimore-Columbia-Towson, MD Metro Area",38332,12580
"Bangor, ME Metro Area",3857,12620
"Baraboo, WI Micro Area",861,12660
"Bardstown, KY Micro Area",78,12680
"Barnstable Town, MA Metro Area",4718,12700
"Barre, VT Micro Area",1517,12740
"Bartlesville, OK Micro Area",1106,12780
"Batavia, NY Micro Area",394,12860
"Batesville, AR Micro Area",954,12900
"Baton Rouge, LA Metro Area",8747,12940
"Battle Creek, MI Metro Area",1597,12980
"Bay City, MI Metro Area",907,13020
"Bay City, TX Micro Area",220,13060
"Beatrice, NE Micro Area",183,13100
"Beaumont-Port Arthur, TX Metro Area",3385,13140
"Beaver Dam, WI Micro Area",691,13180
"Beckley, WV Metro Area",1370,13220
"Bedford, IN Micro Area",257,13260
"Beeville, TX Micro Area",149,13300
"Bellefontaine, OH Micro Area",335,13340
"Bellingham, WA Metro Area",5481,13380
"Bemidji, MN Micro Area",476,13420
"Bend, OR Metro Area",6935,13460
"Bennettsville, SC Micro Area",231,13500
"Bennington, VT Micro Area",1259,13540
"Berlin, NH Micro Area",1259,13620
"Big Rapids, MI Micro Area",574,13660
"Big Spring, TX Micro Area",479,13700
"Big Stone Gap, VA Micro Area",508,13720
"Billings, MT Metro Area",5319,13740
"Binghamton, NY Metro Area",3461,13780
"Birmingham-Hoover, AL Metro Area",12157,13820
"Bismarck, ND Metro Area",1866,13900
"Blackfoot, ID Micro Area",1398,13940
"Blacksburg-Christiansburg, VA Metro Area",4093,13980
"Bloomington, IL Metro Area",1566,14010
"Bloomington, IN Metro Area",6006,14020
"Bloomsburg-Berwick, PA Metro Area",764,14100
"Bluefield, WV-VA Micro Area",2380,14140
"Bluffton, IN Micro Area",85,14160
"Blytheville, AR Micro Area",422,14180
"Bogalusa, LA Micro Area",365,14220
"Boise City, ID Metro Area",28160,14260
"Bonham, TX Micro Area",332,14300
"Boone, NC Micro Area",1684,14380
"Borger, TX Micro Area",190,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",88850,14460
"Boulder, CO Metro Area",15375,14500
"Bowling Green, KY Metro Area",5157,14540
"Bozeman, MT Micro Area",7681,14580
"Bradford, PA Micro Area",867,14620
"Brainerd, MN Micro Area",1409,14660
"Branson, MO Micro Area",1969,14700
"Breckenridge, CO Micro Area",904,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",9162,14740
"Brenham, TX Micro Area",245,14780
"Brevard, NC Micro Area",1039,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",20979,14860
"Brookhaven, MS Micro Area",176,15020
"Brookings, OR Micro Area",1039,15060
"Brookings, SD Micro Area",1832,15100
"Brownsville, TN Micro Area",86,15140
"Brownsville-Harlingen, TX Metro Area",1610,15180
"Brownwood, TX Micro Area",211,15220
"Brunswick, GA Metro Area",1931,15260
"Bucyrus-Galion, OH Micro Area",249,15340
"Buffalo-Cheektowaga, NY Metro Area",8676,15380
"Burley, ID Micro Area",967,15420
"Burlington, IA-IL Micro Area",799,15460
"Burlington, NC Metro Area",2766,15500
"Burlington-South Burlington, VT Metro Area",9910,15540
"Butte-Silver Bow, MT Micro Area",572,15580
"Cadillac, MI Micro Area",531,15620
"Calhoun, GA Micro Area",294,15660
"California-Lexington Park, MD Metro Area",2537,15680
"Cambridge, MD Micro Area",112,15700
"Cambridge, OH Micro Area",370,15740
"Camden, AR Micro Area",341,15780
"Campbellsville, KY Micro Area",506,15820
"Cañon City, CO Micro Area",1313,15860
"Canton-Massillon, OH Metro Area",3388,15940
"Cape Coral-Fort Myers, FL Metro Area",24272,15980
"Cape Girardeau, MO-IL Metro Area",1645,16020
"Carbondale-Marion, IL Metro Area",2285,16060
"Carlsbad-Artesia, NM Micro Area",969,16100
"Carroll, IA Micro Area",419,16140
"Carson City, NV Metro Area",1167,16180
"Casper, WY Metro Area",2521,16220
"Cedar City, UT Micro Area",1581,16260
"Cedar Rapids, IA Metro Area",3388,16300
"Cedartown, GA Micro Area",599,16340
"Celina, OH Micro Area",398,16380
"Central City, KY Micro Area",292,16420
"Centralia, IL Micro Area",378,16460
"Centralia, WA Micro Area",1782,16500
"Chambersburg-Waynesboro, PA Metro Area",2172,16540
"Champaign-Urbana, IL Metro Area",3849,16580
"Charleston, WV Metro Area",2037,16620
"Charleston-Mattoon, IL Micro Area",1007,16660
"Charleston-North Charleston, SC Metro Area",25258,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",57512,16740
"Charlottesville, VA Metro Area",6695,16820
"Chattanooga, TN-GA Metro Area",16425,16860
"Cheyenne, WY Metro Area",4815,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",99949,16980
"Chico, CA Metro Area",1784,17020
"Chillicothe, OH Micro Area",668,17060
"Cincinnati, OH-KY-IN Metro Area",40028,17140
"Clarksburg, WV Micro Area",1011,17220
"Clarksdale, MS Micro Area",31,17260
"Clarksville, TN-KY Metro Area",17461,17300
"Clearlake, CA Micro Area",657,17340
"Cleveland, MS Micro Area",136,17380
"Cleveland, TN Metro Area",3128,17420
"Cleveland-Elyria, OH Metro Area",20711,17460
"Clewiston, FL Micro Area",462,17500
"Clinton, IA Micro Area",665,17540
"Clovis, NM Micro Area",2246,17580
"Coamo, PR Micro Area",,17620
"Coco, PR Micro Area",,17640
"Coeur d'Alene, ID Metro Area",7858,17660
"Coffeyville, KS Micro Area",878,17700
"Coldwater, MI Micro Area",639,17740
"College Station-Bryan, TX Metro Area",4150,17780
"Colorado Springs, CO Metro Area",37960,17820
"Columbia, MO Metro Area",4865,17860
"Columbia, SC Metro Area",23236,17900
"Columbus, GA-AL Metro Area",11447,17980
"Columbus, IN Metro Area",751,18020
"Columbus, MS Micro Area",1250,18060
"Columbus, NE Micro Area",395,18100
"Columbus, OH Metro Area",22331,18140
"Concord, NH Micro Area",3298,18180
"Connersville, IN Micro Area",165,18220
"Cookeville, TN Micro Area",1559,18260
"Coos Bay, OR Micro Area",2520,18300
"Cordele, GA Micro Area",156,18380
"Corinth, MS Micro Area",362,18420
"Cornelia, GA Micro Area",709,18460
"Corning, NY Micro Area",1149,18500
"Corpus Christi, TX Metro Area",4730,18580
"Corsicana, TX Micro Area",420,18620
"Cortland, NY Micro Area",362,18660
"Corvallis, OR Metro Area",3386,18700
"Coshocton, OH Micro Area",172,18740
"Craig, CO Micro Area",706,18780
"Crawfordsville, IN Micro Area",500,18820
"Crescent City, CA Micro Area",484,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",13745,18880
