Measure,Port Name,Year of Date,Border,Value
Bus Passengers,Nogales,1996,Mexico,804
Bus Passengers,Nogales,1996,Mexico,412
Bus Passengers,Nogales,1996,Mexico,1386
Bus Passengers,Nogales,1996,Mexico,1088
Bus Passengers,Nogales,1996,Mexico,949
Bus Passengers,Nogales,1996,Mexico,371
Bus Passengers,Nogales,1996,Mexico,586
Bus Passengers,Nogales,1996,Mexico,148
Bus Passengers,Nogales,1996,Mexico,787
Bus Passengers,Nogales,1996,Mexico,877
Bus Passengers,Nogales,1996,Mexico,970
Bus Passengers,Nogales,1996,Mexico,259
Bus Passengers,Nogales,1997,Mexico,792
Bus Passengers,Nogales,1997,Mexico,943
Bus Passengers,Nogales,1997,Mexico,1067
Bus Passengers,Nogales,1997,Mexico,858
Bus Passengers,Nogales,1997,Mexico,833
Bus Passengers,Nogales,1997,Mexico,755
Bus Passengers,Nogales,1997,Mexico,688
Bus Passengers,Nogales,1997,Mexico,284
Bus Passengers,Nogales,1997,Mexico,360
Bus Passengers,Nogales,1997,Mexico,1123
Bus Passengers,Nogales,1997,Mexico,945
Bus Passengers,Nogales,1997,Mexico,2829
Bus Passengers,Nogales,1998,Mexico,1126
Bus Passengers,Nogales,1998,Mexico,1363
Bus Passengers,Nogales,1998,Mexico,2153
Bus Passengers,Nogales,1998,Mexico,2595
Bus Passengers,Nogales,1998,Mexico,2261
Bus Passengers,Nogales,1998,Mexico,2750
Bus Passengers,Nogales,1998,Mexico,4218
Bus Passengers,Nogales,1998,Mexico,3097
Bus Passengers,Nogales,1998,Mexico,2997
Bus Passengers,Nogales,1998,Mexico,3666
Bus Passengers,Nogales,1998,Mexico,4005
Bus Passengers,Nogales,1998,Mexico,4239
Bus Passengers,Nogales,1999,Mexico,4290
Bus Passengers,Nogales,1999,Mexico,3903
Bus Passengers,Nogales,1999,Mexico,5746
Bus Passengers,Nogales,1999,Mexico,5223
Bus Passengers,Nogales,1999,Mexico,5470
Bus Passengers,Nogales,2016,Mexico,13800
Bus Passengers,Nogales,2016,Mexico,16106
Bus Passengers,Nogales,2016,Mexico,11955
Bus Passengers,Nogales,2016,Mexico,11734
Bus Passengers,Nogales,2016,Mexico,13732
Bus Passengers,Nogales,2016,Mexico,16600
Bus Passengers,Nogales,2017,Mexico,17167
Bus Passengers,Nogales,2017,Mexico,11286
Bus Passengers,Nogales,2017,Mexico,15391
Bus Passengers,Nogales,2017,Mexico,16703
Bus Passengers,Nogales,2017,Mexico,16369
Bus Passengers,Nogales,2017,Mexico,14786
Bus Passengers,Nogales,2017,Mexico,24443
Bus Passengers,Nogales,2017,Mexico,17679
Bus Passengers,Nogales,2017,Mexico,12159
Bus Passengers,Nogales,2017,Mexico,13334
Bus Passengers,Nogales,2017,Mexico,14958
Bus Passengers,Nogales,2017,Mexico,17475
Bus Passengers,Nogales,2018,Mexico,18711
Bus Passengers,Nogales,2018,Mexico,12214
Bus Passengers,Nogales,2018,Mexico,17561
Bus Passengers,Nogales,2018,Mexico,15337
Bus Passengers,Nogales,2018,Mexico,16888
Bus Passengers,Nogales,2018,Mexico,15923
Bus Passengers,Nogales,2018,Mexico,24887
Bus Passengers,Nogales,2018,Mexico,17822
Bus Passengers,Nogales,2018,Mexico,12706
