origin,Latitude.A,Longitude.A,destination,Latitude.B,Longitude.B,Net_B2A
"Alameda County,California",37.6016892,-121.7195459,"Maricopa County,Arizona",33.2917968,-112.4291464,-681
"Alameda County,California",37.6016892,-121.7195459,"Clackamas County,Oregon",45.2023855,-122.1188945,-527
"Alameda County,California",37.6016892,-121.7195459,"Multnomah County,Oregon",45.5145659,-122.5863212,-789
"Alameda County,California",37.6016892,-121.7195459,"Salt Lake County,Utah",40.644188,-111.9522491,-509
"Contra Costa County,California",37.8534093,-121.9017954,"King County,Washington",47.5480339,-121.9836029,-534
"El Dorado County,California",38.7426376,-120.4357631,"Carson City,Nevada",39.1637984,-119.7674034,-573
"Kern County,California",35.4937274,-118.8596804,"El Paso County,Texas",31.8039824,-106.2051484,-507
"Los Angeles County,California",34.3871821,-118.1122679,"Maricopa County,Arizona",33.2917968,-112.4291464,-5723
"Los Angeles County,California",34.3871821,-118.1122679,"Mohave County,Arizona",35.2143346,-113.7632828,-697
"Los Angeles County,California",34.3871821,-118.1122679,"Pima County,Arizona",32.057499,-111.6660725,-1000
"Los Angeles County,California",34.3871821,-118.1122679,"Palm Beach County,Florida",26.6514503,-80.2767327,-505
"Los Angeles County,California",34.3871821,-118.1122679,"Ada County,Idaho",43.478767,-116.2420304,-565
"Los Angeles County,California",34.3871821,-118.1122679,"Clark County,Nevada",36.0795613,-115.094045,-9524
"Los Angeles County,California",34.3871821,-118.1122679,"Washoe County,Nevada",40.5608387,-119.6035495,-549
"Los Angeles County,California",34.3871821,-118.1122679,"Deschutes County,Oregon",43.83251,-121.2616541,-1017
"Los Angeles County,California",34.3871821,-118.1122679,"Lane County,Oregon",43.9610092,-122.6618227,-802
"Los Angeles County,California",34.3871821,-118.1122679,"Multnomah County,Oregon",45.5145659,-122.5863212,-540
"Los Angeles County,California",34.3871821,-118.1122679,"Washington County,Oregon",45.5469616,-123.1386021,-735
"Los Angeles County,California",34.3871821,-118.1122679,"Collin County,Texas",33.1795213,-96.4929797,-1642
"Los Angeles County,California",34.3871821,-118.1122679,"Comal County,Texas",29.8105572,-98.2212979,-706
"Los Angeles County,California",34.3871821,-118.1122679,"Dallas County,Texas",32.8024682,-96.8350999,-596
