NAME,B07004B_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",127,10100
"Aberdeen, WA Micro Area",0,10140
"Abilene, TX Metro Area",910,10180
"Ada, OK Micro Area",4,10220
"Adrian, MI Micro Area",27,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",1565,10420
"Alamogordo, NM Micro Area",259,10460
"Albany, GA Metro Area",1681,10500
"Albany-Lebanon, OR Metro Area",18,10540
"Albany-Schenectady-Troy, NY Metro Area",1436,10580
"Albemarle, NC Micro Area",172,10620
"Albert Lea, MN Micro Area",0,10660
"Albertville, AL Micro Area",42,10700
"Albuquerque, NM Metro Area",1211,10740
"Alexander City, AL Micro Area",203,10760
"Alexandria, LA Metro Area",1345,10780
"Alexandria, MN Micro Area",3,10820
"Alice, TX Micro Area",6,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1708,10900
"Alma, MI Micro Area",19,10940
"Alpena, MI Micro Area",7,10980
"Altoona, PA Metro Area",110,11020
"Altus, OK Micro Area",43,11060
"Amarillo, TX Metro Area",118,11100
"Americus, GA Micro Area",207,11140
"Ames, IA Metro Area",123,11180
"Amsterdam, NY Micro Area",0,11220
"Anchorage, AK Metro Area",1124,11260
"Andrews, TX Micro Area",0,11380
"Angola, IN Micro Area",5,11420
"Ann Arbor, MI Metro Area",912,11460
"Anniston-Oxford, AL Metro Area",299,11500
"Appleton, WI Metro Area",63,11540
"Arcadia, FL Micro Area",48,11580
"Ardmore, OK Micro Area",28,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",44,11660
"Asheville, NC Metro Area",577,11700
"Ashland, OH Micro Area",15,11740
"Ashtabula, OH Micro Area",79,11780
"Astoria, OR Micro Area",27,11820
"Atchison, KS Micro Area",3,11860
"Athens, OH Micro Area",58,11900
"Athens, TN Micro Area",25,11940
"Athens, TX Micro Area",19,11980
"Athens-Clarke County, GA Metro Area",830,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",57181,12060
"Atlantic City-Hammonton, NJ Metro Area",394,12100
"Atmore, AL Micro Area",108,12120
"Auburn, IN Micro Area",9,12140
"Auburn, NY Micro Area",40,12180
"Auburn-Opelika, AL Metro Area",1049,12220
"Augusta-Richmond County, GA-SC Metro Area",4846,12260
"Augusta-Waterville, ME Micro Area",48,12300
"Austin, MN Micro Area",83,12380
"Austin-Round Rock-Georgetown, TX Metro Area",3587,12420
"Bainbridge, GA Micro Area",242,12460
"Bakersfield, CA Metro Area",902,12540
"Baltimore-Columbia-Towson, MD Metro Area",12128,12580
"Bangor, ME Metro Area",186,12620
"Baraboo, WI Micro Area",13,12660
"Bardstown, KY Micro Area",37,12680
"Barnstable Town, MA Metro Area",113,12700
"Barre, VT Micro Area",1,12740
"Bartlesville, OK Micro Area",23,12780
"Batavia, NY Micro Area",10,12860
"Batesville, AR Micro Area",16,12900
"Baton Rouge, LA Metro Area",3272,12940
"Battle Creek, MI Metro Area",169,12980
"Bay City, MI Metro Area",55,13020
"Bay City, TX Micro Area",40,13060
"Beatrice, NE Micro Area",0,13100
"Beaumont-Port Arthur, TX Metro Area",1133,13140
"Beaver Dam, WI Micro Area",6,13180
"Beckley, WV Metro Area",112,13220
"Bedford, IN Micro Area",0,13260
"Beeville, TX Micro Area",1,13300
"Bellefontaine, OH Micro Area",10,13340
"Bellingham, WA Metro Area",55,13380
"Bemidji, MN Micro Area",21,13420
"Bend, OR Metro Area",113,13460
"Bennettsville, SC Micro Area",609,13500
"Bennington, VT Micro Area",183,13540
"Berlin, NH Micro Area",107,13620
"Big Rapids, MI Micro Area",32,13660
"Big Spring, TX Micro Area",42,13700
"Big Stone Gap, VA Micro Area",24,13720
"Billings, MT Metro Area",62,13740
"Binghamton, NY Metro Area",190,13780
"Birmingham-Hoover, AL Metro Area",2988,13820
"Bismarck, ND Metro Area",131,13900
"Blackfoot, ID Micro Area",0,13940
"Blacksburg-Christiansburg, VA Metro Area",238,13980
"Bloomington, IL Metro Area",188,14010
"Bloomington, IN Metro Area",260,14020
"Bloomsburg-Berwick, PA Metro Area",127,14100
"Bluefield, WV-VA Micro Area",73,14140
"Bluffton, IN Micro Area",0,14160
"Blytheville, AR Micro Area",190,14180
"Bogalusa, LA Micro Area",88,14220
"Boise City, ID Metro Area",181,14260
"Bonham, TX Micro Area",15,14300
"Boone, NC Micro Area",30,14380
"Borger, TX Micro Area",0,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",7681,14460
"Boulder, CO Metro Area",274,14500
"Bowling Green, KY Metro Area",667,14540
"Bozeman, MT Micro Area",122,14580
"Bradford, PA Micro Area",47,14620
"Brainerd, MN Micro Area",67,14660
"Branson, MO Micro Area",66,14700
"Breckenridge, CO Micro Area",0,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",1073,14740
"Brenham, TX Micro Area",44,14780
"Brevard, NC Micro Area",159,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",3952,14860
"Brookhaven, MS Micro Area",35,15020
"Brookings, OR Micro Area",1,15060
"Brookings, SD Micro Area",12,15100
"Brownsville, TN Micro Area",132,15140
"Brownsville-Harlingen, TX Metro Area",189,15180
"Brownwood, TX Micro Area",36,15220
"Brunswick, GA Metro Area",341,15260
"Bucyrus-Galion, OH Micro Area",0,15340
"Buffalo-Cheektowaga, NY Metro Area",1771,15380
"Burley, ID Micro Area",5,15420
"Burlington, IA-IL Micro Area",171,15460
"Burlington, NC Metro Area",422,15500
"Burlington-South Burlington, VT Metro Area",93,15540
"Butte-Silver Bow, MT Micro Area",0,15580
"Cadillac, MI Micro Area",0,15620
"Calhoun, GA Micro Area",70,15660
"California-Lexington Park, MD Metro Area",239,15680
"Cambridge, MD Micro Area",55,15700
"Cambridge, OH Micro Area",26,15740
"Camden, AR Micro Area",49,15780
"Campbellsville, KY Micro Area",13,15820
"Cañon City, CO Micro Area",24,15860
