"","FULL2_NAME","moved","City","State","Area","type"
"1","Abilene, TX Metro Area",-408,"Abilene","TX","TX Metro Area",0
"2","Aguadilla-Isabela, PR Metro Area",-86,"Aguadilla-Isabela","PR","PR Metro Area",0
"3","Akron, OH Metro Area",-85,"Akron","OH","OH Metro Area",0
"4","Albany, GA Metro Area",-13,"Albany","GA","GA Metro Area",0
"5","Albany-Lebanon, OR Metro Area",-632,"Albany-Lebanon","OR","OR Metro Area",0
"6","Albany-Schenectady-Troy, NY Metro Area",-334,"Albany-Schenectady-Troy","NY","NY Metro Area",0
"7","Albuquerque, NM Metro Area",-1228,"Albuquerque","NM","NM Metro Area",0
"8","Alexandria, LA Metro Area",-305,"Alexandria","LA","LA Metro Area",0
"9","Allentown-Bethlehem-Easton, PA-NJ Metro Area",-137,"Allentown-Bethlehem-Easton","PA","PA-NJ Metro Area",0
"10","Altoona, PA Metro Area",-32,"Altoona","PA","PA Metro Area",0
"11","Amarillo, TX Metro Area",-450,"Amarillo","TX","TX Metro Area",0
"12","Ames, IA Metro Area",-126,"Ames","IA","IA Metro Area",0
"13","Anchorage, AK Metro Area",-860,"Anchorage","AK","AK Metro Area",0
"14","Ann Arbor, MI Metro Area",-191,"Ann Arbor","MI","MI Metro Area",0
"15","Anniston-Oxford, AL Metro Area",-99,"Anniston-Oxford","AL","AL Metro Area",0
"16","Appleton, WI Metro Area",-273,"Appleton","WI","WI Metro Area",0
"17","Arecibo, PR Metro Area",-3,"Arecibo","PR","PR Metro Area",0
"18","Asheville, NC Metro Area",-512,"Asheville","NC","NC Metro Area",0
"19","Athens-Clarke County, GA Metro Area",-78,"Athens-Clarke County","GA","GA Metro Area",0
"20","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",-2572,"Atlanta-Sandy Springs-Alpharetta","GA","GA Metro Area",0
"21","Atlantic City-Hammonton, NJ Metro Area",-44,"Atlantic City-Hammonton","NJ","NJ Metro Area",0
"22","Auburn-Opelika, AL Metro Area",-60,"Auburn-Opelika","AL","AL Metro Area",0
"23","Augusta-Richmond County, GA-SC Metro Area",-827,"Augusta-Richmond County","GA","GA-SC Metro Area",0
"24","Austin-Round Rock-GeorgeTown, TX Metro Area",-10053,"Austin-Round Rock-GeorgeTown","TX","TX Metro Area",0
"25","Bakersfield, CA Metro Area",-9345,"Bakersfield","CA","CA Metro Area",1
"26","Baltimore-Columbia-Towson, MD Metro Area",-725,"Baltimore-Columbia-Towson","MD","MD Metro Area",0
"27","Bangor, ME Metro Area",-147,"Bangor","ME","ME Metro Area",0
"28","Barnstable Town, MA Metro Area",-145,"Barnstable Town","MA","MA Metro Area",0
"29","Baton Rouge, LA Metro Area",-328,"Baton Rouge","LA","LA Metro Area",0
"30","Battle Creek, MI Metro Area",-36,"Battle Creek","MI","MI Metro Area",0
"31","Bay City, MI Metro Area",-47,"Bay City","MI","MI Metro Area",0
"32","Beaumont-Port Arthur, TX Metro Area",-794,"Beaumont-Port Arthur","TX","TX Metro Area",0
"33","Beckley, WV Metro Area",-3,"Beckley","WV","WV Metro Area",0
"34","Bellingham, WA Metro Area",-673,"Bellingham","WA","WA Metro Area",0
"35","Bend, OR Metro Area",-2141,"Bend","OR","OR Metro Area",0
"36","Billings, MT Metro Area",-124,"Billings","MT","MT Metro Area",0
"37","Binghamton, NY Metro Area",-46,"Binghamton","NY","NY Metro Area",0
"38","Birmingham-Hoover, AL Metro Area",-276,"Birmingham-Hoover","AL","AL Metro Area",0
"39","Bismarck, ND Metro Area",-48,"Bismarck","ND","ND Metro Area",0
"40","Blacksburg-Christiansburg, VA Metro Area",-180,"Blacksburg-Christiansburg","VA","VA Metro Area",0
"41","Bloomington, IL Metro Area",-80,"Bloomington","IL","IL Metro Area",0
"42","Bloomington, IN Metro Area",-359,"Bloomington","IN","IN Metro Area",0
"43","Bloomsburg-Berwick, PA Metro Area",-14,"Bloomsburg-Berwick","PA","PA Metro Area",0
"44","Boise City, ID Metro Area",-7676,"Boise City","ID","ID Metro Area",0
"45","Boston-Cambridge-Newton, MA-NH Metro Area",-1277,"Boston-Cambridge-Newton","MA","MA-NH Metro Area",0
"46","Boulder, CO Metro Area",-2065,"Boulder","CO","CO Metro Area",0
"47","Bowling Green, KY Metro Area",-125,"Bowling Green","KY","KY Metro Area",0
"48","Bremerton-Silverdale-Port Orchard, WA Metro Area",-2069,"Bremerton-Silverdale-Port Orchard","WA","WA Metro Area",0
"49","Bridgeport-Stamford-Norwalk, CT Metro Area",-124,"Bridgeport-Stamford-Norwalk","CT","CT Metro Area",0
"50","Brownsville-Harlingen, TX Metro Area",-195,"Brownsville-Harlingen","TX","TX Metro Area",0
"51","Brunswick, GA Metro Area",-25,"Brunswick","GA","GA Metro Area",0
"52","Buffalo-Cheektowaga, NY Metro Area",-195,"Buffalo-Cheektowaga","NY","NY Metro Area",0
"53","Burlington, NC Metro Area",-221,"Burlington","NC","NC Metro Area",0
"54","Burlington-South Burlington, VT Metro Area",-286,"Burlington-South Burlington","VT","VT Metro Area",0
"55","California-Lexington Park, MD Metro Area",-93,"California-Lexington Park","MD","MD Metro Area",0
"56","Canton-Massillon, OH Metro Area",-79,"Canton-Massillon","OH","OH Metro Area",0
"57","Cape Coral-Fort Myers, FL Metro Area",-785,"Cape Coral-Fort Myers","FL","FL Metro Area",0
"58","Cape Girardeau, MO-IL Metro Area",-52,"Cape Girardeau","MO","MO-IL Metro Area",0
"59","Carbondale-Marion, IL Metro Area",-67,"Carbondale-Marion","IL","IL Metro Area",0
"60","Carson City, NV Metro Area",-902,"Carson City","NV","NV Metro Area",0
"61","Casper, WY Metro Area",-69,"Casper","WY","WY Metro Area",0
"62","Cedar Rapids, IA Metro Area",-85,"Cedar Rapids","IA","IA Metro Area",0
"63","Chambersburg-Waynesboro, PA Metro Area",-25,"Chambersburg-Waynesboro","PA","PA Metro Area",0
"64","Champaign-Urbana, IL Metro Area",-49,"Champaign-Urbana","IL","IL Metro Area",0
"65","Charleston, WV Metro Area",-106,"Charleston","WV","WV Metro Area",0
"66","Charleston-North Charleston, SC Metro Area",-985,"Charleston-North Charleston","SC","SC Metro Area",0
"67","Charlotte-Concord-Gastonia, NC-SC Metro Area",-2284,"Charlotte-Concord-Gastonia","NC","NC-SC Metro Area",0
"68","Charlottesville, VA Metro Area",-139,"Charlottesville","VA","VA Metro Area",0
"69","Chattanooga, TN-GA Metro Area",-1025,"Chattanooga","TN","TN-GA Metro Area",0
"70","Cheyenne, WY Metro Area",-427,"Cheyenne","WY","WY Metro Area",0
"71","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",-1352,"Chicago-Naperville-Elgin","IL","IL-IN-WI Metro Area",0
"72","Chico, CA Metro Area",-2321,"Chico","CA","CA Metro Area",1
"73","Cincinnati, OH-KY-IN Metro Area",-779,"Cincinnati","OH","OH-KY-IN Metro Area",0
"74","Clarksville, TN-KY Metro Area",-1041,"Clarksville","TN","TN-KY Metro Area",0
"75","Cleveland, TN Metro Area",-190,"Cleveland","TN","TN Metro Area",0
"76","Cleveland-Elyria, OH Metro Area",-987,"Cleveland-Elyria","OH","OH Metro Area",0
"77","Coeur d'Alene, ID Metro Area",-1371,"Coeur d'Alene","ID","ID Metro Area",0
"78","College Station-Bryan, TX Metro Area",-504,"College Station-Bryan","TX","TX Metro Area",0
"79","Colorado Springs, CO Metro Area",-2334,"Colorado Springs","CO","CO Metro Area",0
"80","Columbia, MO Metro Area",-182,"Columbia","MO","MO Metro Area",0
"81","Columbia, SC Metro Area",-1920,"Columbia","SC","SC Metro Area",0
"82","Columbus, GA-AL Metro Area",-416,"Columbus","GA","GA-AL Metro Area",0
"83","Columbus, IN Metro Area",-41,"Columbus","IN","IN Metro Area",0
"84","Columbus, OH Metro Area",-367,"Columbus","OH","OH Metro Area",0
"85","Corpus Christi, TX Metro Area",-569,"Corpus Christi","TX","TX Metro Area",0
"86","Corvallis, OR Metro Area",-519,"Corvallis","OR","OR Metro Area",0
"87","Crestview-Fort Walton Beach-Destin, FL Metro Area",-590,"Crestview-Fort Walton Beach-Destin","FL","FL Metro Area",0
"88","Cumberland, MD-WV Metro Area",-10,"Cumberland","MD","MD-WV Metro Area",0
"89","Dallas-Fort Worth-Arlington, TX Metro Area",-14142,"Dallas-Fort Worth-Arlington","TX","TX Metro Area",0
"90","Dalton, GA Metro Area",-156,"Dalton","GA","GA Metro Area",0
"91","Danville, IL Metro Area",-2,"Danville","IL","IL Metro Area",0
"92","Daphne-Fairhope-Foley, AL Metro Area",-36,"Daphne-Fairhope-Foley","AL","AL Metro Area",0
"93","Davenport-Moline-Rock Island, IA-IL Metro Area",-477,"Davenport-Moline-Rock Island","IA","IA-IL Metro Area",0
"94","Dayton-Kettering, OH Metro Area",-727,"Dayton-Kettering","OH","OH Metro Area",0
"95","Decatur, AL Metro Area",-7,"Decatur","AL","AL Metro Area",0
"96","Decatur, IL Metro Area",-66,"Decatur","IL","IL Metro Area",0
"97","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",-460,"Deltona-Daytona Beach-Ormond Beach","FL","FL Metro Area",0
