NAME,B07004C_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",7,10100
"Aberdeen, WA Micro Area",94,10140
"Abilene, TX Metro Area",0,10180
"Ada, OK Micro Area",10,10220
"Adrian, MI Micro Area",6,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",39,10420
"Alamogordo, NM Micro Area",8,10460
"Albany, GA Metro Area",9,10500
"Albany-Lebanon, OR Metro Area",0,10540
"Albany-Schenectady-Troy, NY Metro Area",33,10580
"Albemarle, NC Micro Area",0,10620
"Albert Lea, MN Micro Area",0,10660
"Albertville, AL Micro Area",3,10700
"Albuquerque, NM Metro Area",568,10740
"Alexander City, AL Micro Area",0,10760
"Alexandria, LA Metro Area",2,10780
"Alexandria, MN Micro Area",0,10820
"Alice, TX Micro Area",0,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",47,10900
"Alma, MI Micro Area",0,10940
"Alpena, MI Micro Area",0,10980
"Altoona, PA Metro Area",0,11020
"Altus, OK Micro Area",9,11060
"Amarillo, TX Metro Area",70,11100
"Americus, GA Micro Area",0,11140
"Ames, IA Metro Area",15,11180
"Amsterdam, NY Micro Area",1,11220
"Anchorage, AK Metro Area",446,11260
"Andrews, TX Micro Area",0,11380
"Angola, IN Micro Area",3,11420
"Ann Arbor, MI Metro Area",71,11460
"Anniston-Oxford, AL Metro Area",8,11500
"Appleton, WI Metro Area",22,11540
"Arcadia, FL Micro Area",0,11580
"Ardmore, OK Micro Area",103,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",0,11660
"Asheville, NC Metro Area",95,11700
"Ashland, OH Micro Area",8,11740
"Ashtabula, OH Micro Area",11,11780
"Astoria, OR Micro Area",19,11820
"Atchison, KS Micro Area",0,11860
"Athens, OH Micro Area",0,11900
"Athens, TN Micro Area",0,11940
"Athens, TX Micro Area",0,11980
"Athens-Clarke County, GA Metro Area",0,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",451,12060
"Atlantic City-Hammonton, NJ Metro Area",11,12100
"Atmore, AL Micro Area",0,12120
"Auburn, IN Micro Area",0,12140
"Auburn, NY Micro Area",0,12180
"Auburn-Opelika, AL Metro Area",0,12220
"Augusta-Richmond County, GA-SC Metro Area",30,12260
"Augusta-Waterville, ME Micro Area",26,12300
"Austin, MN Micro Area",0,12380
"Austin-Round Rock-Georgetown, TX Metro Area",425,12420
"Bainbridge, GA Micro Area",0,12460
"Bakersfield, CA Metro Area",64,12540
