"","City2","State2","savings","hpigap","Pop","Location"
"1","Abilene","TX",0.308726073869926,93.5353125,408,"Abilene, TX"
"2","Akron","OH",0.508130105214127,147.337,85,"Akron, OH"
"3","Albany","GA",0.258719825730135,51.07,13,"Albany, GA"
"4","Albany-Lebanon","OR",0.230452796198944,73.1972222222222,370,"Albany-Lebanon, OR"
"5","Albany-Schenectady-Troy","NY",0.29560533492862,95.7409375,334,"Albany-Schenectady-Troy, NY"
"6","Albuquerque","NM",0.304056306505406,77.6330769230769,1228,"Albuquerque, NM"
"7","Alexandria","LA",0.314427198490657,97.9475,251,"Alexandria, LA"
"8","Allentown-Bethlehem-Easton","PA",0.355746099266291,105.737,137,"Allentown-Bethlehem-Easton, PA"
"9","Altoona","PA",0.256672153769522,74.0825,32,"Altoona, PA"
"10","Amarillo","TX",0.274684788386321,81.6407142857143,450,"Amarillo, TX"
"11","Ames","IA",0.281849731442734,79.8685,126,"Ames, IA"
"12","Ann Arbor","MI",0.29878777163938,89.4416666666667,191,"Ann Arbor, MI"
"13","Anniston-Oxford","AL",0.477177864513735,153.13625,99,"Anniston-Oxford, AL"
"14","Appleton","WI",0.361630257652295,106.9445,273,"Appleton, WI"
"15","Asheville","NC",0.215582959859528,72.3121428571429,495,"Asheville, NC"
"16","Athens-Clarke County","GA",0.316871556357026,87.9125,33,"Athens-Clarke County, GA"
"17","Atlanta-Sandy Springs-Alpharetta","GA",0.270666050967238,80.1639285714286,2572,"Atlanta-Sandy Springs-Alpharetta, GA"
"18","Atlantic City-Hammonton","NJ",0.354360405837931,115.42,44,"Atlantic City-Hammonton, NJ"
"19","Auburn-Opelika","AL",0.337697888718553,95.8125,60,"Auburn-Opelika, AL"
"20","Augusta-Richmond County","GA",0.349727049862465,97.7469230769231,827,"Augusta-Richmond County, GA"
"21","Austin-Round Rock-GeorgeTown","TX",0.123370922979105,43.8066666666666,8151,"Austin-Round Rock-GeorgeTown, TX"
"22","Baltimore-Columbia-Towson","MD",0.22392881408716,63.786875,603,"Baltimore-Columbia-Towson, MD"
"23","Bangor","ME",0.361740747327085,109.05875,147,"Bangor, ME"
"24","Barnstable Town","MA",0.109348123141227,34.01,145,"Barnstable Town, MA"
"25","Baton Rouge","LA",0.217481329770169,74.895,275,"Baton Rouge, LA"
"26","Battle Creek","MI",0.393006448112953,112.318333333333,36,"Battle Creek, MI"
"27","Bay City","MI",0.338390878139067,74.045,47,"Bay City, MI"
"28","Beaumont-Port Arthur","TX",0.344052157841419,106.721111111111,783,"Beaumont-Port Arthur, TX"
"29","Beckley","WV",0.185766824484275,43.945,3,"Beckley, WV"
"30","Bellingham","WA",0.211999110150413,64.9144444444444,528,"Bellingham, WA"
"31","Bend","OR",0.144190322427155,51.8755,1834,"Bend, OR"
"32","Billings","MT",0.211959380241025,72.064375,100,"Billings, MT"
"33","Binghamton","NY",0.454340394018127,153.8475,46,"Binghamton, NY"
"34","Birmingham-Hoover","AL",0.292169599716984,86.623,276,"Birmingham-Hoover, AL"
"35","Bismarck","ND",0.0834954122142645,25.5525,37,"Bismarck, ND"
"36","Blacksburg-Christiansburg","VA",0.264029322713675,70.74,175,"Blacksburg-Christiansburg, VA"
"37","Bloomington","IL",0.388633913660632,99.153125,80,"Bloomington, IL"
"38","Bloomington","IN",0.279168312234933,76.9955,359,"Bloomington, IN"
"39","Bloomsburg-Berwick","PA",0.36166706856362,112.4875,14,"Bloomsburg-Berwick, PA"
"40","Boise City","ID",0.233782483001546,71.2908823529412,7439,"Boise City, ID"
"41","Boston-Cambridge-Newton","MA",0.148297452195179,53.405,1015,"Boston-Cambridge-Newton, MA"
"42","Boulder","CO",0.115943066394656,41.315625,1810,"Boulder, CO"
"43","Bowling Green","KY",0.442207816926881,133.293333333333,125,"Bowling Green, KY"
"44","Bremerton-Silverdale-Port Orchard","WA",0.21597762996771,67.5097222222222,1599,"Bremerton-Silverdale-Port Orchard, WA"
"45","Bridgeport-Stamford-Norwalk","CT",0.261961309310556,79.745,124,"Bridgeport-Stamford-Norwalk, CT"
"46","Brownsville-Harlingen","TX",0.338613129767459,84.6825,195,"Brownsville-Harlingen, TX"
"47","Brunswick","GA",0.42697271052969,146.38875,25,"Brunswick, GA"
"48","Buffalo-Cheektowaga","NY",0.325534138828353,88.195,195,"Buffalo-Cheektowaga, NY"
"49","Burlington","NC",0.581703256234713,205.32875,221,"Burlington, NC"
"50","Burlington-South Burlington","VT",0.280710627201995,92.3371428571429,272,"Burlington-South Burlington, VT"
"51","California-Lexington Park","MD",0.275324084351411,78.805,82,"California-Lexington Park, MD"
"52","Canton-Massillon","OH",0.408505595245299,102.64,79,"Canton-Massillon, OH"
"53","Cape Coral-Fort Myers","FL",0.229033826312561,71.3225,759,"Cape Coral-Fort Myers, FL"
"54","Cape Girardeau","MO",0.319355005013035,87.3641666666667,52,"Cape Girardeau, MO"
"55","Carbondale-Marion","IL",0.291019566422341,79.35,67,"Carbondale-Marion, IL"
"56","Carson City","NV",0.240320128727646,71.8861666666667,854,"Carson City, NV"
"57","Casper","WY",0.137818006707604,49.9675,57,"Casper, WY"
"58","Cedar Rapids","IA",0.487647577851827,161.466875,85,"Cedar Rapids, IA"
"59","Chambersburg-Waynesboro","PA",0.456668600619935,154.310833333333,25,"Chambersburg-Waynesboro, PA"
"60","Champaign-Urbana","IL",0.397912932849996,116.16,49,"Champaign-Urbana, IL"
"61","Charleston","WV",0.491441435747547,167.036875,106,"Charleston, WV"
"62","Charleston-North Charleston","SC",0.132837224943181,46.43375,521,"Charleston-North Charleston, SC"
"63","Charlotte-Concord-Gastonia","NC",0.263693027246355,76.7984615384615,2284,"Charlotte-Concord-Gastonia, NC"
"64","Charlottesville","VA",0.317715477473287,108.720833333333,139,"Charlottesville, VA"
"65","Chattanooga","TN",0.239599878155313,66.88575,1025,"Chattanooga, TN"
"66","Cheyenne","WY",0.300999191541935,100.59,243,"Cheyenne, WY"
"67","Chicago-Naperville-Elgin","IL",0.21259226144256,49.9139583333333,1352,"Chicago-Naperville-Elgin, IL"
"68","Cincinnati","OH",0.397912789027636,118.085,779,"Cincinnati, OH"
"69","Clarksville","TN",0.229102370516547,68.8184615384615,1041,"Clarksville, TN"
"70","Cleveland","TN",0.409117465307328,135.691666666667,190,"Cleveland, TN"
"71","Cleveland-Elyria","OH",0.465353154823722,131.8875,987,"Cleveland-Elyria, OH"
"72","Coeur d'Alene","ID",0.2579516498373,81.122,1176,"Coeur d'Alene, ID"
"73","College Station-Bryan","TX",0.256750011531105,76.5408333333333,376,"College Station-Bryan, TX"
"74","Colorado Springs","CO",0.307906756472393,95.520625,2218,"Colorado Springs, CO"
"75","Columbia","MO",0.332165292979323,99.582,182,"Columbia, MO"
"76","Columbia","SC",0.315954249997381,88.9298529411765,1920,"Columbia, SC"
"77","Columbus","GA",0.377600288185194,109.710208333333,416,"Columbus, GA"
"78","Columbus","IN",0.551658005074069,194.94625,41,"Columbus, IN"
"79","Columbus","OH",0.303137933504535,80.5725,367,"Columbus, OH"
"80","Corpus Christi","TX",0.232649480709468,68.611,569,"Corpus Christi, TX"
"81","Corvallis","OR",0.330815277851793,110.174166666667,398,"Corvallis, OR"
"82","Crestview-Fort Walton Beach-Destin","FL",0.23749997825791,77.4027777777778,554,"Crestview-Fort Walton Beach-Destin, FL"
"83","Cumberland","MD",0.558581507448434,197.33875,10,"Cumberland, MD"
"84","Dallas-Fort Worth-Arlington","TX",0.212790475524787,66.9014583333333,13789,"Dallas-Fort Worth-Arlington, TX"
"85","Dalton","GA",0.405042222890158,126.24,156,"Dalton, GA"
"86","Danville","IL",0.168491608677855,32.93,2,"Danville, IL"
"87","Daphne-Fairhope-Foley","AL",0.18125133397105,48.641,36,"Daphne-Fairhope-Foley, AL"
"88","Davenport-Moline-Rock Island","IA",0.238979953733536,63.7275,477,"Davenport-Moline-Rock Island, IA"
"89","Dayton-Kettering","OH",0.476453314282693,131.776818181818,727,"Dayton-Kettering, OH"
"90","Decatur","AL",0.336858799875979,94.05,7,"Decatur, AL"
"91","Decatur","IL",0.464785349802851,133.160833333333,66,"Decatur, IL"
"92","Deltona-Daytona Beach-Ormond Beach","FL",0.246531367886923,75.0192857142857,357,"Deltona-Daytona Beach-Ormond Beach, FL"
"93","Denver-Aurora-Lakewood","CO",0.103939429791494,36.6125,4210,"Denver-Aurora-Lakewood, CO"
"94","Des Moines-West Des Moines","IA",0.310147515388346,93.30875,408,"Des Moines-West Des Moines, IA"
"95","Detroit-Warren-Dearborn","MI",0.273610418319533,58.691,287,"Detroit-Warren-Dearborn, MI"
"96","Dothan","AL",0.409080411627347,122.645,51,"Dothan, AL"
"97","Dover","DE",0.39292650607253,134.08625,38,"Dover, DE"
"98","Dubuque","IA",0.36434333612405,116.6635,68,"Dubuque, IA"
"99","Duluth","MN",0.199309650430937,67.639375,139,"Duluth, MN"
"100","Durham-Chapel Hill","NC",0.21334248803921,61.605625,591,"Durham-Chapel Hill, NC"
