NAME,B07004D_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",0,10100
"Aberdeen, WA Micro Area",41,10140
"Abilene, TX Metro Area",216,10180
"Ada, OK Micro Area",0,10220
"Adrian, MI Micro Area",0,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",545,10420
"Alamogordo, NM Micro Area",17,10460
"Albany, GA Metro Area",103,10500
"Albany-Lebanon, OR Metro Area",100,10540
"Albany-Schenectady-Troy, NY Metro Area",1016,10580
"Albemarle, NC Micro Area",0,10620
"Albert Lea, MN Micro Area",0,10660
"Albertville, AL Micro Area",175,10700
"Albuquerque, NM Metro Area",1282,10740
"Alexander City, AL Micro Area",0,10760
"Alexandria, LA Metro Area",77,10780
"Alexandria, MN Micro Area",0,10820
"Alice, TX Micro Area",0,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",766,10900
"Alma, MI Micro Area",6,10940
"Alpena, MI Micro Area",0,10980
"Altoona, PA Metro Area",47,11020
"Altus, OK Micro Area",62,11060
"Amarillo, TX Metro Area",116,11100
"Americus, GA Micro Area",0,11140
"Ames, IA Metro Area",102,11180
"Amsterdam, NY Micro Area",0,11220
"Anchorage, AK Metro Area",460,11260
"Andrews, TX Micro Area",0,11380
"Angola, IN Micro Area",6,11420
"Ann Arbor, MI Metro Area",2329,11460
"Anniston-Oxford, AL Metro Area",206,11500
"Appleton, WI Metro Area",115,11540
"Arcadia, FL Micro Area",2,11580
"Ardmore, OK Micro Area",45,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",0,11660
"Asheville, NC Metro Area",135,11700
"Ashland, OH Micro Area",0,11740
"Ashtabula, OH Micro Area",0,11780
"Astoria, OR Micro Area",0,11820
"Atchison, KS Micro Area",0,11860
"Athens, OH Micro Area",223,11900
"Athens, TN Micro Area",0,11940
"Athens, TX Micro Area",68,11980
"Athens-Clarke County, GA Metro Area",330,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12831,12060
"Atlantic City-Hammonton, NJ Metro Area",134,12100
"Atmore, AL Micro Area",0,12120
"Auburn, IN Micro Area",0,12140
"Auburn, NY Micro Area",0,12180
"Auburn-Opelika, AL Metro Area",67,12220
"Augusta-Richmond County, GA-SC Metro Area",620,12260
"Augusta-Waterville, ME Micro Area",81,12300
"Austin, MN Micro Area",12,12380
"Austin-Round Rock-Georgetown, TX Metro Area",7262,12420
"Bainbridge, GA Micro Area",0,12460
"Bakersfield, CA Metro Area",335,12540
"Baltimore-Columbia-Towson, MD Metro Area",5061,12580
"Bangor, ME Metro Area",181,12620
