NAME,B07004F_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",4,10100
"Aberdeen, WA Micro Area",44,10140
"Abilene, TX Metro Area",247,10180
"Ada, OK Micro Area",12,10220
"Adrian, MI Micro Area",22,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",23,10420
"Alamogordo, NM Micro Area",104,10460
"Albany, GA Metro Area",15,10500
"Albany-Lebanon, OR Metro Area",39,10540
"Albany-Schenectady-Troy, NY Metro Area",299,10580
"Albemarle, NC Micro Area",0,10620
"Albert Lea, MN Micro Area",25,10660
"Albertville, AL Micro Area",11,10700
"Albuquerque, NM Metro Area",1035,10740
"Alexander City, AL Micro Area",0,10760
"Alexandria, LA Metro Area",35,10780
"Alexandria, MN Micro Area",53,10820
"Alice, TX Micro Area",0,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1665,10900
"Alma, MI Micro Area",0,10940
"Alpena, MI Micro Area",0,10980
"Altoona, PA Metro Area",5,11020
"Altus, OK Micro Area",46,11060
"Amarillo, TX Metro Area",112,11100
"Americus, GA Micro Area",13,11140
"Ames, IA Metro Area",221,11180
"Amsterdam, NY Micro Area",47,11220
"Anchorage, AK Metro Area",205,11260
"Andrews, TX Micro Area",0,11380
"Angola, IN Micro Area",5,11420
"Ann Arbor, MI Metro Area",106,11460
"Anniston-Oxford, AL Metro Area",23,11500
"Appleton, WI Metro Area",17,11540
"Arcadia, FL Micro Area",0,11580
"Ardmore, OK Micro Area",116,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",16,11660
"Asheville, NC Metro Area",181,11700
"Ashland, OH Micro Area",0,11740
"Ashtabula, OH Micro Area",52,11780
"Astoria, OR Micro Area",17,11820
"Atchison, KS Micro Area",0,11860
"Athens, OH Micro Area",18,11900
"Athens, TN Micro Area",32,11940
"Athens, TX Micro Area",7,11980
"Athens-Clarke County, GA Metro Area",77,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",4767,12060
"Atlantic City-Hammonton, NJ Metro Area",173,12100
"Atmore, AL Micro Area",0,12120
"Auburn, IN Micro Area",5,12140
"Auburn, NY Micro Area",2,12180
"Auburn-Opelika, AL Metro Area",86,12220
"Augusta-Richmond County, GA-SC Metro Area",777,12260
"Augusta-Waterville, ME Micro Area",0,12300
"Austin, MN Micro Area",18,12380
"Austin-Round Rock-Georgetown, TX Metro Area",3057,12420
"Bainbridge, GA Micro Area",24,12460
"Bakersfield, CA Metro Area",567,12540
"Baltimore-Columbia-Towson, MD Metro Area",1569,12580
"Bangor, ME Metro Area",65,12620
"Baraboo, WI Micro Area",0,12660
"Bardstown, KY Micro Area",0,12680
"Barnstable Town, MA Metro Area",45,12700
"Barre, VT Micro Area",6,12740
"Bartlesville, OK Micro Area",0,12780
"Batavia, NY Micro Area",6,12860
"Batesville, AR Micro Area",1,12900
"Baton Rouge, LA Metro Area",259,12940
"Battle Creek, MI Metro Area",12,12980
"Bay City, MI Metro Area",71,13020
"Bay City, TX Micro Area",0,13060
"Beatrice, NE Micro Area",0,13100
"Beaumont-Port Arthur, TX Metro Area",210,13140
"Beaver Dam, WI Micro Area",45,13180
"Beckley, WV Metro Area",0,13220
"Bedford, IN Micro Area",0,13260
"Beeville, TX Micro Area",111,13300
"Bellefontaine, OH Micro Area",0,13340
"Bellingham, WA Metro Area",162,13380
"Bemidji, MN Micro Area",0,13420
"Bend, OR Metro Area",168,13460
"Bennettsville, SC Micro Area",16,13500
