NAME,B07004G_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",3,10100
"Aberdeen, WA Micro Area",90,10140
"Abilene, TX Metro Area",217,10180
"Ada, OK Micro Area",128,10220
"Adrian, MI Micro Area",82,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",571,10420
"Alamogordo, NM Micro Area",631,10460
"Albany, GA Metro Area",166,10500
"Albany-Lebanon, OR Metro Area",314,10540
"Albany-Schenectady-Troy, NY Metro Area",1013,10580
"Albemarle, NC Micro Area",17,10620
"Albert Lea, MN Micro Area",42,10660
"Albertville, AL Micro Area",26,10700
"Albuquerque, NM Metro Area",2649,10740
"Alexander City, AL Micro Area",0,10760
"Alexandria, LA Metro Area",39,10780
"Alexandria, MN Micro Area",2,10820
"Alice, TX Micro Area",0,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1774,10900
"Alma, MI Micro Area",3,10940
"Alpena, MI Micro Area",0,10980
"Altoona, PA Metro Area",50,11020
"Altus, OK Micro Area",188,11060
"Amarillo, TX Metro Area",515,11100
"Americus, GA Micro Area",19,11140
"Ames, IA Metro Area",351,11180
"Amsterdam, NY Micro Area",2,11220
"Anchorage, AK Metro Area",1814,11260
"Andrews, TX Micro Area",0,11380
"Angola, IN Micro Area",26,11420
"Ann Arbor, MI Metro Area",863,11460
"Anniston-Oxford, AL Metro Area",90,11500
"Appleton, WI Metro Area",276,11540
"Arcadia, FL Micro Area",34,11580
"Ardmore, OK Micro Area",65,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",0,11660
"Asheville, NC Metro Area",900,11700
"Ashland, OH Micro Area",35,11740
"Ashtabula, OH Micro Area",43,11780
"Astoria, OR Micro Area",135,11820
"Atchison, KS Micro Area",38,11860
"Athens, OH Micro Area",95,11900
"Athens, TN Micro Area",8,11940
"Athens, TX Micro Area",19,11980
"Athens-Clarke County, GA Metro Area",626,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",10411,12060
"Atlantic City-Hammonton, NJ Metro Area",180,12100
"Atmore, AL Micro Area",21,12120
"Auburn, IN Micro Area",4,12140
"Auburn, NY Micro Area",25,12180
"Auburn-Opelika, AL Metro Area",752,12220
"Augusta-Richmond County, GA-SC Metro Area",1892,12260
"Augusta-Waterville, ME Micro Area",56,12300
"Austin, MN Micro Area",60,12380
"Austin-Round Rock-Georgetown, TX Metro Area",5401,12420
"Bainbridge, GA Micro Area",0,12460
"Bakersfield, CA Metro Area",1213,12540
"Baltimore-Columbia-Towson, MD Metro Area",5327,12580
"Bangor, ME Metro Area",172,12620
"Baraboo, WI Micro Area",71,12660
"Bardstown, KY Micro Area",8,12680
"Barnstable Town, MA Metro Area",182,12700
"Barre, VT Micro Area",41,12740
"Bartlesville, OK Micro Area",32,12780
"Batavia, NY Micro Area",192,12860
"Batesville, AR Micro Area",16,12900
"Baton Rouge, LA Metro Area",1338,12940
"Battle Creek, MI Metro Area",200,12980
"Bay City, MI Metro Area",146,13020
"Bay City, TX Micro Area",11,13060
"Beatrice, NE Micro Area",5,13100
"Beaumont-Port Arthur, TX Metro Area",227,13140
"Beaver Dam, WI Micro Area",27,13180
"Beckley, WV Metro Area",16,13220
"Bedford, IN Micro Area",0,13260
"Beeville, TX Micro Area",54,13300
"Bellefontaine, OH Micro Area",0,13340
"Bellingham, WA Metro Area",338,13380
"Bemidji, MN Micro Area",80,13420
"Bend, OR Metro Area",712,13460
"Bennettsville, SC Micro Area",19,13500
"Bennington, VT Micro Area",83,13540
"Berlin, NH Micro Area",28,13620
"Big Rapids, MI Micro Area",4,13660
"Big Spring, TX Micro Area",114,13700
"Big Stone Gap, VA Micro Area",64,13720
"Billings, MT Metro Area",317,13740
"Binghamton, NY Metro Area",280,13780
"Birmingham-Hoover, AL Metro Area",1581,13820
"Bismarck, ND Metro Area",247,13900
"Blackfoot, ID Micro Area",69,13940
"Blacksburg-Christiansburg, VA Metro Area",241,13980
"Bloomington, IL Metro Area",127,14010
"Bloomington, IN Metro Area",302,14020
"Bloomsburg-Berwick, PA Metro Area",71,14100
"Bluefield, WV-VA Micro Area",117,14140
"Bluffton, IN Micro Area",17,14160
"Blytheville, AR Micro Area",50,14180
"Bogalusa, LA Micro Area",23,14220
"Boise City, ID Metro Area",2455,14260
"Bonham, TX Micro Area",151,14300
"Boone, NC Micro Area",27,14380
"Borger, TX Micro Area",34,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",6648,14460
"Boulder, CO Metro Area",1494,14500
"Bowling Green, KY Metro Area",167,14540
"Bozeman, MT Micro Area",257,14580
"Bradford, PA Micro Area",0,14620
"Brainerd, MN Micro Area",13,14660
"Branson, MO Micro Area",228,14700
"Breckenridge, CO Micro Area",0,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",1620,14740
"Brenham, TX Micro Area",89,14780
"Brevard, NC Micro Area",78,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",2224,14860
"Brookhaven, MS Micro Area",0,15020
"Brookings, OR Micro Area",70,15060
"Brookings, SD Micro Area",60,15100
"Brownsville, TN Micro Area",0,15140
"Brownsville-Harlingen, TX Metro Area",207,15180
"Brownwood, TX Micro Area",70,15220
"Brunswick, GA Metro Area",90,15260
"Bucyrus-Galion, OH Micro Area",0,15340
"Buffalo-Cheektowaga, NY Metro Area",582,15380
"Burley, ID Micro Area",113,15420
"Burlington, IA-IL Micro Area",57,15460
"Burlington, NC Metro Area",144,15500
"Burlington-South Burlington, VT Metro Area",447,15540
"Butte-Silver Bow, MT Micro Area",7,15580
"Cadillac, MI Micro Area",215,15620
"Calhoun, GA Micro Area",186,15660
"California-Lexington Park, MD Metro Area",238,15680
"Cambridge, MD Micro Area",4,15700
"Cambridge, OH Micro Area",41,15740
"Camden, AR Micro Area",72,15780
"Campbellsville, KY Micro Area",17,15820
"Cañon City, CO Micro Area",47,15860
"Canton-Massillon, OH Metro Area",311,15940
"Cape Coral-Fort Myers, FL Metro Area",1918,15980
"Cape Girardeau, MO-IL Metro Area",65,16020
"Carbondale-Marion, IL Metro Area",64,16060
"Carlsbad-Artesia, NM Micro Area",295,16100
"Carroll, IA Micro Area",0,16140
"Carson City, NV Metro Area",450,16180
"Casper, WY Metro Area",48,16220
"Cedar City, UT Micro Area",141,16260
"Cedar Rapids, IA Metro Area",379,16300
"Cedartown, GA Micro Area",43,16340
"Celina, OH Micro Area",0,16380
"Central City, KY Micro Area",10,16420
"Centralia, IL Micro Area",6,16460
"Centralia, WA Micro Area",374,16500
"Chambersburg-Waynesboro, PA Metro Area",105,16540
"Champaign-Urbana, IL Metro Area",242,16580
"Charleston, WV Metro Area",266,16620
"Charleston-Mattoon, IL Micro Area",30,16660
"Charleston-North Charleston, SC Metro Area",1563,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",4927,16740
"Charlottesville, VA Metro Area",345,16820
"Chattanooga, TN-GA Metro Area",1737,16860
"Cheyenne, WY Metro Area",401,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",10854,16980
"Chico, CA Metro Area",152,17020
"Chillicothe, OH Micro Area",7,17060
"Cincinnati, OH-KY-IN Metro Area",2258,17140
"Clarksburg, WV Micro Area",55,17220
"Clarksdale, MS Micro Area",46,17260
"Clarksville, TN-KY Metro Area",1622,17300
"Clearlake, CA Micro Area",112,17340
"Cleveland, MS Micro Area",54,17380
"Cleveland, TN Metro Area",180,17420
"Cleveland-Elyria, OH Metro Area",1765,17460
"Clewiston, FL Micro Area",0,17500
"Clinton, IA Micro Area",11,17540
"Clovis, NM Micro Area",104,17580
"Coamo, PR Micro Area",,17620
"Coco, PR Micro Area",,17640
"Coeur d'Alene, ID Metro Area",330,17660
"Coffeyville, KS Micro Area",70,17700
"Coldwater, MI Micro Area",35,17740
"College Station-Bryan, TX Metro Area",351,17780
"Colorado Springs, CO Metro Area",4424,17820
"Columbia, MO Metro Area",442,17860
"Columbia, SC Metro Area",2299,17900
"Columbus, GA-AL Metro Area",1547,17980
"Columbus, IN Metro Area",183,18020
"Columbus, MS Micro Area",47,18060
"Columbus, NE Micro Area",340,18100
"Columbus, OH Metro Area",2879,18140
"Concord, NH Micro Area",283,18180
"Connersville, IN Micro Area",0,18220
"Cookeville, TN Micro Area",32,18260
"Coos Bay, OR Micro Area",157,18300
"Cordele, GA Micro Area",0,18380
"Corinth, MS Micro Area",25,18420
"Cornelia, GA Micro Area",18,18460
"Corning, NY Micro Area",49,18500
"Corpus Christi, TX Metro Area",646,18580
"Corsicana, TX Micro Area",2,18620
"Cortland, NY Micro Area",117,18660
"Corvallis, OR Metro Area",297,18700
"Coshocton, OH Micro Area",7,18740
"Craig, CO Micro Area",18,18780
"Crawfordsville, IN Micro Area",4,18820
"Crescent City, CA Micro Area",0,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",1569,18880
