NAME,B07004H_005E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",535,10100
"Aberdeen, WA Micro Area",1282,10140
"Abilene, TX Metro Area",2419,10180
"Ada, OK Micro Area",418,10220
"Adrian, MI Micro Area",1227,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",6696,10420
"Alamogordo, NM Micro Area",2061,10460
"Albany, GA Metro Area",714,10500
"Albany-Lebanon, OR Metro Area",1951,10540
"Albany-Schenectady-Troy, NY Metro Area",11579,10580
"Albemarle, NC Micro Area",516,10620
"Albert Lea, MN Micro Area",214,10660
"Albertville, AL Micro Area",1082,10700
"Albuquerque, NM Metro Area",13884,10740
"Alexander City, AL Micro Area",545,10760
"Alexandria, LA Metro Area",1196,10780
"Alexandria, MN Micro Area",389,10820
"Alice, TX Micro Area",138,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10809,10900
"Alma, MI Micro Area",235,10940
"Alpena, MI Micro Area",290,10980
"Altoona, PA Metro Area",781,11020
"Altus, OK Micro Area",1111,11060
"Amarillo, TX Metro Area",2986,11100
"Americus, GA Micro Area",132,11140
"Ames, IA Metro Area",4290,11180
"Amsterdam, NY Micro Area",454,11220
"Anchorage, AK Metro Area",9497,11260
"Andrews, TX Micro Area",215,11380
"Angola, IN Micro Area",547,11420
"Ann Arbor, MI Metro Area",10527,11460
"Anniston-Oxford, AL Metro Area",1700,11500
"Appleton, WI Metro Area",2313,11540
"Arcadia, FL Micro Area",618,11580
"Ardmore, OK Micro Area",840,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",596,11660
"Asheville, NC Metro Area",13088,11700
"Ashland, OH Micro Area",567,11740
"Ashtabula, OH Micro Area",1511,11780
"Astoria, OR Micro Area",990,11820
"Atchison, KS Micro Area",657,11860
"Athens, OH Micro Area",1699,11900
"Athens, TN Micro Area",989,11940
"Athens, TX Micro Area",1180,11980
"Athens-Clarke County, GA Metro Area",4584,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",60571,12060
"Atlantic City-Hammonton, NJ Metro Area",2403,12100
"Atmore, AL Micro Area",240,12120
"Auburn, IN Micro Area",264,12140
"Auburn, NY Micro Area",501,12180
"Auburn-Opelika, AL Metro Area",4710,12220
"Augusta-Richmond County, GA-SC Metro Area",12817,12260
"Augusta-Waterville, ME Micro Area",2221,12300
"Austin, MN Micro Area",535,12380
"Austin-Round Rock-Georgetown, TX Metro Area",39666,12420
"Bainbridge, GA Micro Area",309,12460
"Bakersfield, CA Metro Area",3251,12540
"Baltimore-Columbia-Towson, MD Metro Area",35030,12580
"Bangor, ME Metro Area",3798,12620
"Baraboo, WI Micro Area",832,12660
"Bardstown, KY Micro Area",78,12680
"Barnstable Town, MA Metro Area",4707,12700
"Barre, VT Micro Area",1429,12740
"Bartlesville, OK Micro Area",1100,12780
"Batavia, NY Micro Area",379,12860
"Batesville, AR Micro Area",801,12900
"Baton Rouge, LA Metro Area",8257,12940
"Battle Creek, MI Metro Area",1422,12980
"Bay City, MI Metro Area",793,13020
"Bay City, TX Micro Area",136,13060
"Beatrice, NE Micro Area",170,13100
"Beaumont-Port Arthur, TX Metro Area",3064,13140
"Beaver Dam, WI Micro Area",679,13180
"Beckley, WV Metro Area",1332,13220
"Bedford, IN Micro Area",257,13260
"Beeville, TX Micro Area",132,13300
"Bellefontaine, OH Micro Area",335,13340
"Bellingham, WA Metro Area",5179,13380
"Bemidji, MN Micro Area",467,13420
"Bend, OR Metro Area",6607,13460
"Bennettsville, SC Micro Area",231,13500
"Bennington, VT Micro Area",1235,13540
"Berlin, NH Micro Area",1203,13620
"Big Rapids, MI Micro Area",574,13660
"Big Spring, TX Micro Area",310,13700
"Big Stone Gap, VA Micro Area",508,13720
"Billings, MT Metro Area",4872,13740
"Binghamton, NY Metro Area",3355,13780
"Birmingham-Hoover, AL Metro Area",11784,13820
"Bismarck, ND Metro Area",1816,13900
"Blackfoot, ID Micro Area",1294,13940
"Blacksburg-Christiansburg, VA Metro Area",3916,13980
"Bloomington, IL Metro Area",1449,14010
"Bloomington, IN Metro Area",5840,14020
"Bloomsburg-Berwick, PA Metro Area",724,14100
"Bluefield, WV-VA Micro Area",2331,14140
"Bluffton, IN Micro Area",85,14160
"Blytheville, AR Micro Area",399,14180
"Bogalusa, LA Micro Area",363,14220
"Boise City, ID Metro Area",26244,14260
"Bonham, TX Micro Area",322,14300
"Boone, NC Micro Area",1649,14380
"Borger, TX Micro Area",170,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",83462,14460
"Boulder, CO Metro Area",14198,14500
"Bowling Green, KY Metro Area",4754,14540
"Bozeman, MT Micro Area",7419,14580
"Bradford, PA Micro Area",793,14620
"Brainerd, MN Micro Area",1409,14660
"Branson, MO Micro Area",1951,14700
"Breckenridge, CO Micro Area",890,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",8022,14740
"Brenham, TX Micro Area",228,14780
"Brevard, NC Micro Area",1038,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",18707,14860
"Brookhaven, MS Micro Area",176,15020
"Brookings, OR Micro Area",1036,15060
"Brookings, SD Micro Area",1769,15100
"Brownsville, TN Micro Area",80,15140
"Brownsville-Harlingen, TX Metro Area",604,15180
"Brownwood, TX Micro Area",211,15220
"Brunswick, GA Metro Area",1884,15260
"Bucyrus-Galion, OH Micro Area",246,15340
"Buffalo-Cheektowaga, NY Metro Area",8194,15380
"Burley, ID Micro Area",821,15420
"Burlington, IA-IL Micro Area",763,15460
"Burlington, NC Metro Area",2641,15500
"Burlington-South Burlington, VT Metro Area",9639,15540
"Butte-Silver Bow, MT Micro Area",571,15580
"Cadillac, MI Micro Area",519,15620
"Calhoun, GA Micro Area",233,15660
"California-Lexington Park, MD Metro Area",2417,15680
"Cambridge, MD Micro Area",112,15700
"Cambridge, OH Micro Area",370,15740
"Camden, AR Micro Area",341,15780
"Campbellsville, KY Micro Area",506,15820
"Cañon City, CO Micro Area",856,15860
"Canton-Massillon, OH Metro Area",3084,15940
"Cape Coral-Fort Myers, FL Metro Area",21969,15980
"Cape Girardeau, MO-IL Metro Area",1633,16020
"Carbondale-Marion, IL Metro Area",2139,16060
"Carlsbad-Artesia, NM Micro Area",877,16100
"Carroll, IA Micro Area",419,16140
"Carson City, NV Metro Area",1045,16180
"Casper, WY Metro Area",2314,16220
"Cedar City, UT Micro Area",1555,16260
"Cedar Rapids, IA Metro Area",3212,16300
"Cedartown, GA Micro Area",429,16340
"Celina, OH Micro Area",387,16380
"Central City, KY Micro Area",292,16420
"Centralia, IL Micro Area",378,16460
"Centralia, WA Micro Area",1611,16500
"Chambersburg-Waynesboro, PA Metro Area",2132,16540
"Champaign-Urbana, IL Metro Area",3589,16580
"Charleston, WV Metro Area",1974,16620
"Charleston-Mattoon, IL Micro Area",956,16660
"Charleston-North Charleston, SC Metro Area",24283,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",52928,16740
"Charlottesville, VA Metro Area",6473,16820
"Chattanooga, TN-GA Metro Area",15566,16860
"Cheyenne, WY Metro Area",4445,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",89319,16980
"Chico, CA Metro Area",1669,17020
"Chillicothe, OH Micro Area",647,17060
"Cincinnati, OH-KY-IN Metro Area",38136,17140
"Clarksburg, WV Micro Area",983,17220
"Clarksdale, MS Micro Area",31,17260
"Clarksville, TN-KY Metro Area",15704,17300
"Clearlake, CA Micro Area",640,17340
"Cleveland, MS Micro Area",130,17380
"Cleveland, TN Metro Area",2924,17420
"Cleveland-Elyria, OH Metro Area",19024,17460
"Clewiston, FL Micro Area",435,17500
"Clinton, IA Micro Area",636,17540
"Clovis, NM Micro Area",1992,17580
"Coamo, PR Micro Area",,17620
"Coco, PR Micro Area",,17640
"Coeur d'Alene, ID Metro Area",7713,17660
"Coffeyville, KS Micro Area",760,17700
"Coldwater, MI Micro Area",612,17740
"College Station-Bryan, TX Metro Area",3635,17780
"Colorado Springs, CO Metro Area",33361,17820
"Columbia, MO Metro Area",4566,17860
"Columbia, SC Metro Area",21033,17900
"Columbus, GA-AL Metro Area",10146,17980
"Columbus, IN Metro Area",709,18020
"Columbus, MS Micro Area",1194,18060
"Columbus, NE Micro Area",248,18100
"Columbus, OH Metro Area",21138,18140
"Concord, NH Micro Area",3131,18180
"Connersville, IN Micro Area",165,18220
"Cookeville, TN Micro Area",1487,18260
"Coos Bay, OR Micro Area",2411,18300
"Cordele, GA Micro Area",156,18380
"Corinth, MS Micro Area",353,18420
"Cornelia, GA Micro Area",695,18460
"Corning, NY Micro Area",1146,18500
"Corpus Christi, TX Metro Area",3649,18580
"Corsicana, TX Micro Area",379,18620
"Cortland, NY Micro Area",362,18660
"Corvallis, OR Metro Area",3150,18700
"Coshocton, OH Micro Area",172,18740
"Craig, CO Micro Area",699,18780
"Crawfordsville, IN Micro Area",366,18820
"Crescent City, CA Micro Area",452,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",13034,18880
"Crossville, TN Micro Area",1952,18900
"Cullman, AL Micro Area",1802,18980
"Cullowhee, NC Micro Area",1814,19000
"Cumberland, MD-WV Metro Area",2232,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",80084,19100
"Dalton, GA Metro Area",505,19140
"Danville, IL Metro Area",603,19180
"Danville, KY Micro Area",913,19220
"Danville, VA Micro Area",810,19260
"Daphne-Fairhope-Foley, AL Metro Area",6702,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",7225,19340
"Dayton, TN Micro Area",424,19420
"Dayton-Kettering, OH Metro Area",14201,19430
"Decatur, AL Metro Area",1312,19460
"Decatur, IL Metro Area",1237,19500
"Decatur, IN Micro Area",361,19540
"Defiance, OH Micro Area",393,19580
"Del Rio, TX Micro Area",688,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",15795,19660
"Deming, NM Micro Area",389,19700
"Denver-Aurora-Lakewood, CO Metro Area",73081,19740
"DeRidder, LA Micro Area",408,19760
"Des Moines-West Des Moines, IA Metro Area",11294,19780
"Detroit-Warren-Dearborn, MI Metro Area",27811,19820
"Dickinson, ND Micro Area",1551,19860
"Dixon, IL Micro Area",263,19940
"Dodge City, KS Micro Area",287,19980
"Dothan, AL Metro Area",2415,20020
"Douglas, GA Micro Area",295,20060
"Dover, DE Metro Area",2712,20100
