"","Port.Name","Year","Vehicles"
"1","Andrade","2022",512230
"2","Brownsville","2022",4611662
"3","Calexico","2022",4919857
"4","Calexico East","2022",2681034
"5","Columbus","2022",358950
"6","Del Rio","2022",1559306
"7","Douglas","2022",1557946
"8","Eagle Pass","2022",2779204
"9","El Paso","2022",8352496
"10","Hidalgo","2022",4166070
"11","Laredo","2022",4552930
"12","Lukeville","2022",442171
"13","Naco","2022",310609
"14","Nogales","2022",3687883
"15","Otay Mesa","2022",5803929
"16","Presidio","2022",636757
"17","Progreso","2022",1252354
"18","Rio Grande City","2022",403650
"19","Roma","2022",725014
"20","San Luis","2022",3378455
"21","San Ysidro","2022",15349871
"22","Santa Teresa","2022",645430
"23","Sasabe","2022",27046
"24","Tecate","2022",979759
"25","Tornillo","2022",420894
