NAME,B07001_001E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",41911,10100
"Aberdeen, WA Micro Area",74084,10140
"Abilene, TX Metro Area",173004,10180
"Ada, OK Micro Area",37593,10220
"Adrian, MI Micro Area",98451,10300
"Aguadilla-Isabela, PR Metro Area",,10380
"Akron, OH Metro Area",695909,10420
"Alamogordo, NM Micro Area",66462,10460
"Albany, GA Metro Area",147442,10500
"Albany-Lebanon, OR Metro Area",125842,10540
"Albany-Schenectady-Troy, NY Metro Area",889765,10580
"Albemarle, NC Micro Area",61492,10620
"Albert Lea, MN Micro Area",30649,10660
"Albertville, AL Micro Area",95460,10700
"Albuquerque, NM Metro Area",904543,10740
"Alexander City, AL Micro Area",51222,10760
"Alexandria, LA Metro Area",150768,10780
"Alexandria, MN Micro Area",38177,10820
"Alice, TX Micro Area",48647,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",850059,10900
"Alma, MI Micro Area",41454,10940
"Alpena, MI Micro Area",28596,10980
"Altoona, PA Metro Area",121948,11020
"Altus, OK Micro Area",24649,11060
"Amarillo, TX Metro Area",265199,11100
"Americus, GA Micro Area",33805,11140
"Ames, IA Metro Area",123650,11180
"Amsterdam, NY Micro Area",48886,11220
"Anchorage, AK Metro Area",394306,11260
"Andrews, TX Micro Area",17936,11380
"Angola, IN Micro Area",34060,11420
"Ann Arbor, MI Metro Area",368875,11460
"Anniston-Oxford, AL Metro Area",115176,11500
"Appleton, WI Metro Area",239241,11540
"Arcadia, FL Micro Area",33836,11580
"Ardmore, OK Micro Area",57587,11620
"Arecibo, PR Metro Area",,11640
"Arkadelphia, AR Micro Area",21265,11660
"Asheville, NC Metro Area",461917,11700
"Ashland, OH Micro Area",52109,11740
"Ashtabula, OH Micro Area",96714,11780
"Astoria, OR Micro Area",40391,11820
"Atchison, KS Micro Area",16249,11860
"Athens, OH Micro Area",62561,11900
"Athens, TN Micro Area",52465,11940
"Athens, TX Micro Area",80688,11980
"Athens-Clarke County, GA Metro Area",211606,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5962861,12060
"Atlantic City-Hammonton, NJ Metro Area",270915,12100
"Atmore, AL Micro Area",36474,12120
"Auburn, IN Micro Area",42578,12140
"Auburn, NY Micro Area",75919,12180
"Auburn-Opelika, AL Metro Area",170559,12220
"Augusta-Richmond County, GA-SC Metro Area",600896,12260
"Augusta-Waterville, ME Micro Area",121986,12300
"Austin, MN Micro Area",39379,12380
"Austin-Round Rock-Georgetown, TX Metro Area",2210558,12420
"Bainbridge, GA Micro Area",28741,12460
"Bakersfield, CA Metro Area",893705,12540
"Baltimore-Columbia-Towson, MD Metro Area",2806773,12580
"Bangor, ME Metro Area",150616,12620
"Baraboo, WI Micro Area",64694,12660
"Bardstown, KY Micro Area",46020,12680
"Barnstable Town, MA Metro Area",226233,12700
"Barre, VT Micro Area",59150,12740
"Bartlesville, OK Micro Area",51807,12780
"Batavia, NY Micro Area",57713,12860
"Batesville, AR Micro Area",54553,12900
"Baton Rouge, LA Metro Area",857527,12940
"Battle Creek, MI Metro Area",132875,12980
"Bay City, MI Metro Area",103142,13020
"Bay City, TX Micro Area",36023,13060
"Beatrice, NE Micro Area",21525,13100
"Beaumont-Port Arthur, TX Metro Area",392825,13140
"Beaver Dam, WI Micro Area",88505,13180
"Beckley, WV Metro Area",114805,13220
"Bedford, IN Micro Area",44511,13260
"Beeville, TX Micro Area",30960,13300
"Bellefontaine, OH Micro Area",45385,13340
