"","X","MSA","state","lq","race","MSA_State","geometry"
"1",1,"Abilene","TX",0.71,"Asian","Abilene, TX",c(-99.7331439, 32.4487364)
"2",2,"Akron","OH",0.45,"Asian","Akron, OH",c(-81.5190053, 41.0814447)
"3",3,"Albany","GA",0.4,"Asian","Albany, GA",c(-84.155741, 31.5785074)
"4",4,"Albany","OR",0.46,"Asian","Albany, OR",c(-123.1059282, 44.6365107)
"5",5,"Albany","NY",0.65,"Asian","Albany, NY",c(-73.7562317, 42.6525793)
"6",6,"Albuquerque","NM",0.81,"Asian","Albuquerque, NM",c(-106.650422, 35.0843859)
"7",7,"Alexandria","LA",0.29,"Asian","Alexandria, LA",c(-92.4451371, 31.3112936)
"8",8,"Allentown","PA",0.52,"Asian","Allentown, PA",c(-75.4714098, 40.6022939)
"9",9,"Altoona","PA",0.22,"Asian","Altoona, PA",c(-78.3947359, 40.5186809)
"10",10,"Amarillo","TX",0.25,"Asian","Amarillo, TX",c(-101.8312969, 35.2219971)
"11",11,"Ames","IA",0.47,"Asian","Ames, IA",c(-93.6319131, 42.0307812)
"12",12,"Anchorage","AK",0.67,"Asian","Anchorage, AK",c(-149.8996785, 61.2175758)
"13",13,"Ann Arbor","MI",3.62,"Asian","Ann Arbor, MI",c(-83.7430378, 42.2808256)
"14",14,"Anniston","AL",1.02,"Asian","Anniston, AL",c(-85.8316318, 33.6598257)
"15",15,"Appleton","WI",0.28,"Asian","Appleton, WI",c(-88.4153847, 44.2619309)
"16",16,"Asheville","NC",0.17,"Asian","Asheville, NC",c(-82.5514869, 35.5950581)
"17",17,"Athens","GA",0.89,"Asian","Athens, GA",c(-83.357567, 33.9519347)
"18",18,"Atlanta","GA",1.23,"Asian","Atlanta, GA",c(-84.3876845, 33.748752)
"19",19,"Atlantic City","NJ",0.28,"Asian","Atlantic City, NJ",c(-74.4229266, 39.3642834)
"20",20,"Auburn","AL",0.23,"Asian","Auburn, AL",c(-85.4807825, 32.6098566)
"21",21,"Augusta","GA",0.59,"Asian","Augusta, GA",c(-82.0105148, 33.4734978)
"22",22,"Austin","TX",1.88,"Asian","Austin, TX",c(-97.7430608, 30.267153)
"23",23,"Bakersfield","CA",0.21,"Asian","Bakersfield, CA",c(-119.0187125, 35.3732921)
"24",24,"Baltimore","MD",1.03,"Asian","Baltimore, MD",c(-76.6121893, 39.2903848)
"25",25,"Bangor","ME",0.69,"Asian","Bangor, ME",c(-68.7712257, 44.8016128)
"26",26,"Barnstable Town","MA",0.12,"Asian","Barnstable Town, MA",c(-70.3002024, 41.7003208)
"27",27,"Baton Rouge","LA",0.22,"Asian","Baton Rouge, LA",c(-91.1871466, 30.4514677)
"28",28,"Battle Creek","MI",0.76,"Asian","Battle Creek, MI",c(-85.1797142, 42.3211522)
"29",29,"Bay City","MI",0.18,"Asian","Bay City, MI",c(-83.8888647, 43.5944677)
"30",30,"Beaumont","TX",0.13,"Asian","Beaumont, TX",c(-94.1265562, 30.080174)
"31",31,"Beckley","WV",0.07,"Asian","Beckley, WV",c(-81.1881557, 37.7781702)
"32",32,"Bellingham","WA",0.56,"Asian","Bellingham, WA",c(-122.4786854, 48.7519112)
"33",33,"Bend","OR",0.43,"Asian","Bend, OR",c(-121.3153096, 44.0581728)
"34",34,"Billings","MT",0.05,"Asian","Billings, MT",c(-108.5006904, 45.7832856)
"35",35,"Binghamton","NY",0.43,"Asian","Binghamton, NY",c(-75.9179738, 42.0986867)
"36",36,"Birmingham","AL",0.28,"Asian","Birmingham, AL",c(-86.8103567, 33.5185892)
"37",37,"Bismarck","ND",0.05,"Asian","Bismarck, ND",c(-100.7876931, 46.8054947)
"38",38,"Blacksburg","VA",1.5,"Asian","Blacksburg, VA",c(-80.4139393, 37.2295733)
"39",39,"Bloomington","IL",0.42,"Asian","Bloomington, IL",c(-88.9936873, 40.4842027)
"40",40,"Bloomington","IN",2.14,"Asian","Bloomington, IN",c(-86.5263857, 39.165325)
"41",41,"Bloomsburg","PA",0.21,"Asian","Bloomsburg, PA",c(-76.4549457, 41.003698)
"42",42,"Boise City","ID",0.34,"Asian","Boise City, ID",c(-116.2023137, 43.6150186)
"43",43,"Boston","MA",1.82,"Asian","Boston, MA",c(-71.0588801, 42.3600825)
"44",44,"Boulder","CO",1.7,"Asian","Boulder, CO",c(-105.2705456, 40.0149856)
"45",45,"Bowling Green","KY",0,"Asian","Bowling Green, KY",c(-86.4808043, 36.9685219)
"46",46,"Bremerton","WA",1.01,"Asian","Bremerton, WA",c(-122.6269768, 47.5650067)
"47",47,"Bridgeport","CT",1.43,"Asian","Bridgeport, CT",c(-73.1894384, 41.1792258)
"48",48,"Brownsville","TX",0.04,"Asian","Brownsville, TX",c(-97.4974838, 25.9017472)
"49",49,"Brunswick","GA",0,"Asian","Brunswick, GA",c(-81.4914894, 31.1499528)
"50",50,"Buffalo","NY",0.39,"Asian","Buffalo, NY",c(-78.8783689, 42.8864468)
"51",51,"Burlington","NC",0.46,"Asian","Burlington, NC",c(-79.4372709, 36.0958949)
"52",52,"Burlington","VT",0.96,"Asian","Burlington, VT",c(-73.212072, 44.4758825)
"53",53,"California","MD",0.06,"Asian","California, MD",c(-76.5074542, 38.3004029)
"54",54,"Canton","OH",0.14,"Asian","Canton, OH",c(-81.378447, 40.7989473)
"55",55,"Cape Coral","FL",0.76,"Asian","Cape Coral, FL",c(-81.9495331, 26.5628537)
"56",56,"Cape Girardeau","MO",0,"Asian","Cape Girardeau, MO",c(-89.5181476, 37.3058839)
"57",57,"Carbondale","IL",0.81,"Asian","Carbondale, IL",c(-89.2167501, 37.7272727)
"58",58,"Carson City","NV",1.61,"Asian","Carson City, NV",c(-119.7674034, 39.1637984)
"59",59,"Casper","WY",0,"Asian","Casper, WY",c(-106.2980824, 42.848709)
"60",60,"Cedar Rapids","IA",0.14,"Asian","Cedar Rapids, IA",c(-91.6656232, 41.9778795)
"61",61,"Chambersburg","PA",0.36,"Asian","Chambersburg, PA",c(-77.6611022, 39.9375911)
"62",62,"Champaign","IL",2.1,"Asian","Champaign, IL",c(-88.2433829, 40.1164204)
"63",63,"Charleston","WV",0.25,"Asian","Charleston, WV",c(-81.6326234, 38.3498195)
"64",64,"Charleston","SC",0.4,"Asian","Charleston, SC",c(-79.9310512, 32.7764749)
