City2,State2,savings,hpigap,Pop,Location,Latitude,Longitude
StringFilter,StringFilter,,,,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
Abilene,TX,0.3087260739,93.5353125,408,"Abilene, TX",32.4487364,-99.7331439
Akron,OH,0.5081301052,147.337,85,"Akron, OH",41.0814447,-81.5190053
Albany,GA,0.2587198257,51.07,13,"Albany, GA",31.5785074,-84.155741
Albany-Lebanon,OR,0.2304527962,73.19722222,370,"Albany-Lebanon, OR",44.5365119,-122.9070339
Albany-Schenectady-Troy,NY,0.2956053349,95.7409375,334,"Albany-Schenectady-Troy, NY",42.7284117,-73.6917851
Albuquerque,NM,0.3040563065,77.63307692,1228,"Albuquerque, NM",35.0843859,-106.650422
Alexandria,LA,0.3144271985,97.9475,251,"Alexandria, LA",31.3112936,-92.4451371
Allentown-Bethlehem-Easton,PA,0.3557460993,105.737,137,"Allentown-Bethlehem-Easton, PA",40.5833639,-75.5043761
Altoona,PA,0.2566721538,74.0825,32,"Altoona, PA",40.5186809,-78.3947359
Amarillo,TX,0.2746847884,81.64071429,450,"Amarillo, TX",35.2219971,-101.8312969
Ames,IA,0.2818497314,79.8685,126,"Ames, IA",42.0307812,-93.6319131
Ann Arbor,MI,0.2987877716,89.44166667,191,"Ann Arbor, MI",42.2808256,-83.7430378
Anniston-Oxford,AL,0.4771778645,153.13625,99,"Anniston-Oxford, AL",33.7701576,-85.80766
Appleton,WI,0.3616302577,106.9445,273,"Appleton, WI",44.2619309,-88.4153847
Asheville,NC,0.2155829599,72.31214286,495,"Asheville, NC",35.5950581,-82.5514869
Athens-Clarke County,GA,0.3168715564,87.9125,33,"Athens-Clarke County, GA",33.9519347,-83.357567
Atlanta-Sandy Springs-Alpharetta,GA,0.270666051,80.16392857,2572,"Atlanta-Sandy Springs-Alpharetta, GA",34.0753762,-84.2940899
Atlantic City-Hammonton,NJ,0.3543604058,115.42,44,"Atlantic City-Hammonton, NJ",39.6365056,-74.8023853
Auburn-Opelika,AL,0.3376978887,95.8125,60,"Auburn-Opelika, AL",32.637656,-85.3836481
Augusta-Richmond County,GA,0.3497270499,97.74692308,827,"Augusta-Richmond County, GA",33.4734978,-82.0105148
Austin-Round Rock-GeorgeTown,TX,0.123370923,43.80666667,8151,"Austin-Round Rock-GeorgeTown, TX",30.6332618,-97.6779842
Baltimore-Columbia-Towson,MD,0.2239288141,63.786875,603,"Baltimore-Columbia-Towson, MD",39.372594,-76.6412712
Bangor,ME,0.3617407473,109.05875,147,"Bangor, ME",44.8016128,-68.7712257
Barnstable Town,MA,0.1093481231,34.01,145,"Barnstable Town, MA",41.7003208,-70.3002024
Baton Rouge,LA,0.2174813298,74.895,275,"Baton Rouge, LA",30.4514677,-91.1871466
Battle Creek,MI,0.3930064481,112.3183333,36,"Battle Creek, MI",42.3211522,-85.1797142
Bay City,MI,0.3383908781,74.045,47,"Bay City, MI",43.5944677,-83.8888647
Beaumont-Port Arthur,TX,0.3440521578,106.7211111,783,"Beaumont-Port Arthur, TX",30.080174,-94.1265562
Beckley,WV,0.1857668245,43.945,3,"Beckley, WV",37.7781702,-81.1881557
Bellingham,WA,0.2119991102,64.91444444,528,"Bellingham, WA",48.7519112,-122.4786854
