code ,msa,permits2019
10180,"Abilene, TX                                                 ",370
10420,"Akron, OH                                                   ",945
10500,"Albany, GA                                                  ",402
10540,"Albany-Lebanon, OR                                          ",716
10580,"Albany-Schenectady-Troy, NY                                 ",1870
10740,"Albuquerque, NM                                             ",2148
10780,"Alexandria, LA                                              ",333
10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",1345
11020,"Altoona, PA                                                 ",111
11100,"Amarillo, TX                                                ",584
11180,"Ames, IA                                                    ",549
11260,"Anchorage, AK                                               ",1163
11460,"Ann Arbor, MI                                               ",815
11500,"Anniston-Oxford, AL                                         ",105
11540,"Appleton, WI                                                ",577
11700,"Asheville, NC                                               ",3254
12020,"Athens-Clarke County, GA                                    ",1591
12060,"Atlanta-Sandy Springs-Alpharetta, GA                        ",32836
12100,"Atlantic City-Hammonton, NJ                                 ",957
12220,"Auburn-Opelika, AL                                          ",2091
12260,"Augusta-Richmond County, GA-SC                              ",3201
12420,"Austin-Round Rock-Georgetown, TX                            ",32037
12540,"Bakersfield, CA                                             ",2261
12580,"Baltimore-Columbia-Towson, MD                               ",6967
12620,"Bangor, ME                                                  ",266
12700,"Barnstable Town, MA                                         ",513
12940,"Baton Rouge, LA                                             ",3622
12980,"Battle Creek, MI                                            ",56
13020,"Bay City, MI                                                ",83
13140,"Beaumont-Port Arthur, TX                                    ",1363
13220,"Beckley, WV                                                 ",77
13380,"Bellingham, WA                                              ",1821
13460,"Bend, OR                                                    ",2028
13740,"Billings, MT                                                ",1154
13780,"Binghamton, NY                                              ",351
13820,"Birmingham-Hoover, AL                                       ",3202
13900,"Bismarck, ND                                                ",631
13980,"Blacksburg-Christiansburg, VA                               ",632
14010,"Bloomington, IL                                             ",192
14020,"Bloomington, IN                                             ",762
14100,"Bloomsburg-Berwick, PA                                      ",111
14260,"Boise City, ID                                              ",10632
14460,"Boston-Cambridge-Newton, MA-NH                              ",15088
14500,"Boulder, CO                                                 ",1650
14540,"Bowling Green, KY                                           ",762
14740,"Bremerton-Silverdale-Port Orchard, WA                       ",1117
14860,"Bridgeport-Stamford-Norwalk, CT                             ",2326
15180,"Brownsville-Harlingen, TX                                   ",1817
15260,"Brunswick, GA                                               ",460
15380,"Buffalo-Cheektowaga, NY                                     ",1693
15500,"Burlington, NC                                              ",1407
15540,"Burlington-South Burlington, VT                             ",867
15680,"California-Lexington Park, MD                               ",689
15940,"Canton-Massillon, OH                                        ",624
15980,"Cape Coral-Fort Myers, FL                                   ",9105
16020,"Cape Girardeau, MO-IL                                       ",795
16060,"Carbondale-Marion, IL                                       ",182
16180,"Carson City, NV                                             ",248
16220,"Casper, WY                                                  ",177
16300,"Cedar Rapids, IA                                            ",814
16540,"Chambersburg-Waynesboro, PA                                 ",293
16580,"Champaign-Urbana, IL                                        ",1175
16620,"Charleston, WV                                              ",318
16700,"Charleston-North Charleston, SC                             ",6695
16740,"Charlotte-Concord-Gastonia, NC-SC                           ",24637
16820,"Charlottesville, VA                                         ",1375
16860,"Chattanooga, TN-GA                                          ",2697
16940,"Cheyenne, WY                                                ",432
16980,"Chicago-Naperville-Elgin, IL-IN-WI                          ",18085
17020,"Chico, CA                                                   ",1426
17140,"Cincinnati, OH-KY-IN                                        ",6023
17300,"Clarksville, TN-KY                                          ",2657
17420,"Cleveland, TN                                               ",755
17460,"Cleveland-Elyria, OH                                        ",3032
17660,"Coeur dAlene, ID                                            ",2526
17780,"College Station-Bryan, TX                                   ",1480
17820,"Colorado Springs, CO                                        ",5508
17860,"Columbia, MO                                                ",799
17900,"Columbia, SC                                                ",4424
17980,"Columbus, GA-AL                                             ",1097
18020,"Columbus, IN                                                ",189
18140,"Columbus, OH                                                ",8090
18580,"Corpus Christi, TX                                          ",1815
18700,"Corvallis, OR                                               ",542
18880,"Crestview-Fort Walton Beach-Destin, FL                      ",3544
19060,"Cumberland, MD-WV                                           ",105
19100,"Dallas-Fort Worth-Arlington, TX                             ",62708
19140,"Dalton, GA                                                  ",326
19180,"Danville, IL                                                ",12
19300,"Daphne-Fairhope-Foley, AL                                   ",3150
19340,"Davenport-Moline-Rock Island, IA-IL                         ",801
19430,"Dayton-Kettering, OH                                        ",1231
19460,"Decatur, AL                                                 ",177
19500,"Decatur, IL                                                 ",35
19660,"Deltona-Daytona Beach-Ormond Beach, FL                      ",4753
19740,"Denver-Aurora-Lakewood, CO                                  ",19308
19780,"Des Moines-West Des Moines, IA                              ",5269
19820,"Detroit-Warren-Dearborn, MI                                 ",7813
20020,"Dothan, AL                                                  ",423
20100,"Dover, DE                                                   ",1340
20220,"Dubuque, IA                                                 ",262
20260,"Duluth, MN-WI                                               ",1032
20500,"Durham-Chapel Hill, NC                                      ",5795
20700,"East Stroudsburg, PA                                        ",176
20740,"Eau Claire, WI                                              ",745
20940,"El Centro, CA                                               ",398
21340,"El Paso, TX                                                 ",3066
21060,"Elizabethtown-Fort Knox, KY                                 ",491
21140,"Elkhart-Goshen, IN                                          ",350
21300,"Elmira, NY                                                  ",220
21420,"Enid, OK                                                    ",26
21500,"Erie, PA                                                    ",161
21660,"Eugene-Springfield, OR                                      ",1071
21780,"Evansville, IN-KY                                           ",930
21820,"Fairbanks, AK                                               ",22
22020,"Fargo, ND-MN                                                ",1425
22140,"Farmington, NM                                              ",89
22180,"Fayetteville, NC                                            ",1839
22220,"Fayetteville-Springdale-Rogers, AR-MO                       ",6905
22380,"Flagstaff, AZ                                               ",728
22420,"Flint, MI                                                   ",576
22500,"Florence, SC                                                ",1129
22520,"Florence-Muscle Shoals, AL                                  ",281
22540,"Fond du Lac, WI                                             ",255
22660,"Fort Collins, CO                                            ",2490
22900,"Fort Smith, AR-OK                                           ",609
23060,"Fort Wayne, IN                                              ",1956
23420,"Fresno, CA                                                  ",3393
23460,"Gadsden, AL                                                 ",71
23540,"Gainesville, FL                                             ",2567
23580,"Gainesville, GA                                             ",1479
23900,"Gettysburg, PA                                              ",220
24020,"Glens Falls, NY                                             ",241
24140,"Goldsboro, NC                                               ",323
24220,"Grand Forks, ND-MN                                          ",195
24260,"Grand Island, NE                                            ",177
24300,"Grand Junction, CO                                          ",818
24340,"Grand Rapids-Kentwood, MI                                   ",4155
24420,"Grants Pass, OR                                             ",231
24500,"Great Falls, MT                                             ",134
24540,"Greeley, CO                                                 ",4387
24580,"Green Bay, WI                                               ",1130
24660,"Greensboro-High Point, NC                                   ",2423
24780,"Greenville, NC                                              ",1030
24860,"Greenville-Anderson, SC                                     ",6563
25060,"Gulfport-Biloxi, MS                                         ",2256
25180,"Hagerstown-Martinsburg, MD-WV                               ",1565
25220,"Hammond, LA                                                 ",988
25260,"Hanford-Corcoran, CA                                        ",409
25420,"Harrisburg-Carlisle, PA                                     ",2018
25500,"Harrisonburg, VA                                            ",361
