code,msa,permits2022
10180,"Abilene, TX                                                 ",799
10420,"Akron, OH                                                   ",3047
10500,"Albany, GA                                                  ",202
10540,"Albany-Lebanon, OR                                          ",327
10580,"Albany-Schenectady-Troy, NY                                 ",2615
10740,"Albuquerque, NM                                             ",3057
10780,"Alexandria, LA                                              ",353
10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",2309
11020,"Altoona, PA                                                 ",123
11100,"Amarillo, TX                                                ",982
11180,"Ames, IA                                                    ",331
11260,"Anchorage, AK                                               ",213
11460,"Ann Arbor, MI                                               ",629
11500,"Anniston-Oxford, AL                                         ",78
11540,"Appleton, WI                                                ",767
11700,"Asheville, NC                                               ",3531
12020,"Athens-Clarke County, GA                                    ",2345
12060,"Atlanta-Sandy Springs-Alpharetta, GA                        ",48107
12100,"Atlantic City-Hammonton, NJ                                 ",762
12220,"Auburn-Opelika, AL                                          ",2192
12260,"Augusta-Richmond County, GA-SC                              ",4190
12420,"Austin-Round Rock-Georgetown, TX                            ",42364
12540,"Bakersfield, CA                                             ",2688
12580,"Baltimore-Columbia-Towson, MD                               ",6588
12620,"Bangor, ME                                                  ",430
12700,"Barnstable Town, MA                                         ",887
12940,"Baton Rouge, LA                                             ",3773
12980,"Battle Creek, MI                                            ",95
13020,"Bay City, MI                                                ",67
13140,"Beaumont-Port Arthur, TX                                    ",1368
13220,"Beckley, WV                                                 ",104
13380,"Bellingham, WA                                              ",1614
13460,"Bend, OR                                                    ",2113
13740,"Billings, MT                                                ",1202
13780,"Binghamton, NY                                              ",452
13820,"Birmingham-Hoover, AL                                       ",4147
13900,"Bismarck, ND                                                ",610
13980,"Blacksburg-Christiansburg, VA                               ",500
14010,"Bloomington, IL                                             ",437
14020,"Bloomington, IN                                             ",552
14100,"Bloomsburg-Berwick, PA                                      ",135
14260,"Boise City, ID                                              ",10475
14460,"Boston-Cambridge-Newton, MA-NH                              ",14454
14500,"Boulder, CO                                                 ",1642
14540,"Bowling Green, KY                                           ",1636
14740,"Bremerton-Silverdale-Port Orchard, WA                       ",1701
14860,"Bridgeport-Stamford-Norwalk, CT                             ",1668
15180,"Brownsville-Harlingen, TX                                   ",2509
15260,"Brunswick, GA                                               ",1568
15380,"Buffalo-Cheektowaga, NY                                     ",1597
15500,"Burlington, NC                                              ",1949
15540,"Burlington-South Burlington, VT                             ",1022
