NAME,POP,metropolitan statistical area/micropolitan statistical area
"Big Stone Gap, VA Micro Area",41364,13720
"Billings, MT Metro Area",181667,13740
"Binghamton, NY Metro Area",238691,13780
"Birmingham-Hoover, AL Metro Area",1090435,13820
"Bismarck, ND Metro Area",128949,13900
"Blackfoot, ID Micro Area",46811,13940
"Blacksburg-Christiansburg, VA Metro Area",167531,13980
"Bloomington, IL Metro Area",171517,14010
"Bloomington, IN Metro Area",169230,14020
"Bloomsburg-Berwick, PA Metro Area",83194,14100
"Bluefield, WV-VA Micro Area",105633,14140
"Blytheville, AR Micro Area",40651,14180
"Bogalusa, LA Micro Area",46194,14220
"Boise City, ID Metro Area",749202,14260
"Bonham, TX Micro Area",35514,14300
"Boone, NC Micro Area",56177,14380
"Borger, TX Micro Area",20938,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",4873019,14460
"Boulder, CO Metro Area",326196,14500
"Bowling Green, KY Metro Area",179240,14540
"Bozeman, MT Micro Area",114434,14580
"Bradford, PA Micro Area",40625,14620
"Bremerton-Silverdale-Port Orchard, WA Metro Area",271473,14740
"Brainerd, MN Micro Area",94834,14660
"Branson, MO Micro Area",55928,14700
"Breckenridge, CO Micro Area",31011,14720
"Brenham, TX Micro Area",35882,14780
"Brevard, NC Micro Area",34385,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",943332,14860
"Brookhaven, MS Micro Area",34153,15020
"Brownsville, TN Micro Area",17304,15140
"Brownsville-Harlingen, TX Metro Area",423163,15180
"Brookings, OR Micro Area",22925,15060
"Brookings, SD Micro Area",35077,15100
"Brownwood, TX Micro Area",37864,15220
"Brunswick, GA Metro Area",118779,15260
"Bucyrus-Galion, OH Micro Area",41494,15340
"Buffalo-Cheektowaga, NY Metro Area",1127983,15380
"Burlington-South Burlington, VT Metro Area",220411,15540
"Burley, ID Micro Area",45069,15420
"Burlington, IA-IL Micro Area",45613,15460
"Burlington, NC Metro Area",169509,15500
"Butte-Silver Bow, MT Micro Area",34915,15580
"Cadillac, MI Micro Area",48749,15620
"Calhoun, GA Micro Area",57963,15660
"California-Lexington Park, MD Metro Area",113510,15680
"Campbellsville, KY Micro Area",36710,15820
"Cambridge, MD Micro Area",31929,15700
"Cambridge, OH Micro Area",38875,15740
"Camden, AR Micro Area",28571,15780
"Cañon City, CO Micro Area",47839,15860
"Canton-Massillon, OH Metro Area",397520,15940
"Cape Coral-Fort Myers, FL Metro Area",770577,15980
"Cape Girardeau, MO-IL Metro Area",96765,16020
"Cheyenne, WY Metro Area",99500,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9458539,16980
"Carson City, NV Metro Area",55916,16180
"Carlsbad-Artesia, NM Micro Area",58460,16100
"Carbondale-Marion, IL Metro Area",135764,16060
"Carroll, IA Micro Area",20165,16140
"Casper, WY Metro Area",79858,16220
"Cedar City, UT Micro Area",54839,16260
"Cedar Rapids, IA Metro Area",273032,16300
"Cedartown, GA Micro Area",42613,16340
"Centralia, WA Micro Area",80707,16500
"Celina, OH Micro Area",41172,16380
"Central City, KY Micro Area",30622,16420
"Centralia, IL Micro Area",37205,16460
"Chambersburg-Waynesboro, PA Metro Area",155027,16540
"Champaign-Urbana, IL Metro Area",226033,16580
"Charleston, WV Metro Area",257074,16620
"Charlottesville, VA Metro Area",218615,16820
"Charleston-Mattoon, IL Micro Area",61387,16660
"Charleston-North Charleston, SC Metro Area",802122,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2636883,16740
"Chattanooga, TN-GA Metro Area",565194,16860
"Chico, CA Metro Area",219186,17020
"Chillicothe, OH Micro Area",76666,17060
"Clarksville, TN-KY Metro Area",307820,17300
"Cincinnati, OH-KY-IN Metro Area",2221208,17140
"Clarksburg, WV Micro Area",92399,17220
"Clarksdale, MS Micro Area",22124,17260
"Clearlake, CA Micro Area",64386,17340
"Cleveland, MS Micro Area",30628,17380
"Cleveland, TN Metro Area",124942,17420
"Cleveland-Elyria, OH Metro Area",2048449,17460
"Coamo, PR Micro Area",38336,17620
"Clewiston, FL Micro Area",42022,17500
"Clinton, IA Micro Area",46429,17540
"Clovis, NM Micro Area",48954,17580
"Coco, PR Micro Area",27128,17640
"Coeur d'Alene, ID Metro Area",165697,17660
"Coffeyville, KS Micro Area",31829,17700
"Coldwater, MI Micro Area",43517,17740
"Columbia, MO Metro Area",208173,17860
"Columbia, SC Metro Area",838433,17900
"College Station-Bryan, TX Metro Area",264728,17780
"Colorado Springs, CO Metro Area",745791,17820
"Columbus, GA-AL Metro Area",321048,17980
"Columbus, IN Metro Area",83779,18020
"Columbus, MS Micro Area",58595,18060
"Columbus, NE Micro Area",33470,18100
"Coos Bay, OR Micro Area",64487,18300
"Columbus, OH Metro Area",2122271,18140
"Concord, NH Micro Area",151391,18180
"Connersville, IN Micro Area",23102,18220
"Cookeville, TN Micro Area",114272,18260
"Cordele, GA Micro Area",22372,18380
"Corinth, MS Micro Area",36953,18420
