"","state","rpp_all","goods","housing","utilities","other","deflactor","pch_fromprev","type","rppindex"
"1","Alabama",88.1,94.1,60.7,86.7,96.1,101.9,4.8,"0",-39.3
"2","Alaska",104.4,108.6,102.9,118.9,102.2,120.8,7.8,"1",2.9
"3","Arizona",96.7,95.3,102.4,87.5,96.6,111.8,1.3,"1",2.4
"4","Arkansas",89.4,95.7,59.5,82.8,97.5,103.4,5.3,"0",-40.5
"5","California",111.8,108,164.9,143.6,102.1,129.3,3.9,"1",64.9
"6","Colorado",103,101.8,129.5,85.4,97.2,119.1,3.2,"1",29.5
"7","Connecticut",102.6,97,120.9,146.6,100.6,118.6,1.7,"1",20.9
"8","Delaware",97.7,94.5,97.1,94,100.4,112.9,5.2,"0",-2.9
"9","DistrictofColumbia",111.3,107.9,175.4,111.8,102.7,128.7,4,"1",75.4
"10","Florida",101.4,98.3,113.1,89.8,100.6,117.3,4.8,"1",13.1
"11","Georgia",95.8,96.6,85.5,95.5,98.9,110.7,5.5,"0",-14.5
"12","Hawaii",113.2,110.6,140.8,184.7,104.4,130.9,4.5,"1",40.8
"13","Idaho",91.8,96.8,84.2,68.5,92.2,106.1,5,"0",-15.8
"14","Illinois",101.4,104,96.2,86.2,102,117.3,4.9,"0",-3.8
"15","Indiana",92.7,96.2,71.4,90.8,98.3,107.2,5,"0",-28.6
"16","Iowa",89.6,94.1,66.3,98.5,95.2,103.6,3.2,"0",-33.7
"17","Kansas",91.2,94,69.8,100.8,96.4,105.4,2.8,"0",-30.2
"18","Kentucky",89.1,94.2,63.4,79.8,96.5,103,4.1,"0",-36.6
"19","Louisiana",91.3,95.4,66.9,80.6,99.3,105.5,4.4,"0",-33.1
"20","Maine",97.2,98.9,81.2,126.9,101.5,112.4,3.5,"0",-18.8
"21","Maryland",106.2,103.7,124.2,105.1,102.7,122.8,3.8,"1",24.2
"22","Massachusetts",106.6,105.3,129,154.2,100.9,123.2,1.6,"1",29
"23","Michigan",94.3,94.8,80.7,101,98.3,109,3.7,"0",-19.3
"24","Minnesota",98.4,100.5,93.1,91.6,99.1,113.8,4.7,"0",-6.9
"25","Mississippi",86.6,94.5,56.2,80.6,94.7,100.1,4.9,"0",-43.8
"26","Missouri",92,98.4,70.1,91.6,95.4,106.4,3.8,"0",-29.9
"27","Montana",91.6,96.8,79.3,75.1,92.9,105.9,3.9,"0",-20.7
"28","Nebraska",91.8,94.3,75.7,85.4,95.8,106.1,3.2,"0",-24.3
"29","Nevada",95.5,97,107.9,76.3,91.6,110.5,2.3,"1",7.9
"30","NewHampshire",102.5,102,107.1,140.4,100.6,118.5,1.3,"1",7.1
"31","NewJersey",109.1,101.9,135.1,115.2,107.5,126.1,2.6,"1",35.1
"32","NewMexico",89.9,96.9,73,81.6,92.1,104,2.1,"0",-27
"33","NewYork",109.5,102,131.6,136.1,107.9,126.6,3.5,"1",31.6
"34","NorthCarolina",93.8,96.1,76,84.5,99.7,108.5,6.7,"0",-24
"35","NorthDakota",91.1,94.2,71.1,87.1,95.2,105.3,2.7,"0",-28.9
"36","Ohio",92.5,95,72.8,91.9,97.4,106.9,4.4,"0",-27.2
"37","Oklahoma",90.3,95.8,64,79.6,98.2,104.4,4.5,"0",-36
"38","Oregon",103,106.3,109.4,97,99,119.1,3.6,"1",9.4
"39","Pennsylvania",96.4,95.5,86.7,106,99.5,111.4,2.5,"0",-13.3
"40","RhodeIsland",102.1,98,109.1,145.9,101.4,118,4.2,"1",9.1
"41","SouthCarolina",93.7,96,76.1,90.6,99.9,108.3,7.1,"0",-23.9
"42","SouthDakota",90.1,93.9,64.9,93.9,95.5,104.2,3.4,"0",-35.1
"43","Tennessee",90.9,94.4,76.4,76,94.8,105,4.4,"0",-23.6
"44","Texas",98.5,98.6,95.6,85.9,100.2,113.9,3.8,"0",-4.4
"45","Utah",94.6,96.5,99.4,71.7,92.7,109.4,3.4,"0",-0.6
"46","Vermont",98.7,97.9,93.6,129.7,100.1,114.1,0.5,"0",-6.4
"47","Virginia",102.3,101.5,110.2,91.9,101,118.3,5.2,"1",10.2
"48","Washington",108.9,111.5,125.7,92.4,103.3,125.9,5,"1",25.7
"49","West Virginia",90.8,96.6,59.1,85.4,100.2,104.9,8.1,"0",-40.9
"50","Wisconsin",93.3,95.7,76.2,95.6,97.8,107.9,4.8,"0",-23.8
"51","Wyoming",91.4,96.5,77.3,76.3,93.8,105.7,4,"0",-22.7
