NAME,B01001_001E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",42476,10100
"Aberdeen, WA Micro Area",74737,10140
"Abilene, TX Metro Area",175241,10180
"Ada, OK Micro Area",38102,10220
"Adrian, MI Micro Area",99346,10300
"Aguadilla-Isabela, PR Metro Area",311049,10380
"Akron, OH Metro Area",702464,10420
"Alamogordo, NM Micro Area",67298,10460
"Albany, GA Metro Area",149298,10500
"Albany-Lebanon, OR Metro Area",127200,10540
"Albany-Schenectady-Troy, NY Metro Area",898265,10580
"Albemarle, NC Micro Area",62148,10620
"Albert Lea, MN Micro Area",30882,10660
"Albertville, AL Micro Area",97179,10700
"Albuquerque, NM Metro Area",913388,10740
"Alexander City, AL Micro Area",51726,10760
"Alexandria, LA Metro Area",152695,10780
"Alexandria, MN Micro Area",38742,10820
"Alice, TX Micro Area",49204,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",857997,10900
"Alma, MI Micro Area",41758,10940
"Alpena, MI Micro Area",28913,10980
"Altoona, PA Metro Area",123132,11020
"Altus, OK Micro Area",24960,11060
"Amarillo, TX Metro Area",268306,11100
"Americus, GA Micro Area",34312,11140
"Ames, IA Metro Area",124827,11180
"Amsterdam, NY Micro Area",49539,11220
"Anchorage, AK Metro Area",399352,11260
"Andrews, TX Micro Area",18184,11380
"Angola, IN Micro Area",34379,11420
"Ann Arbor, MI Metro Area",372428,11460
"Anniston-Oxford, AL Metro Area",116425,11500
"Appleton, WI Metro Area",241748,11540
"Arcadia, FL Micro Area",34027,11580
"Ardmore, OK Micro Area",58207,11620
"Arecibo, PR Metro Area",183384,11640
"Arkadelphia, AR Micro Area",21569,11660
"Asheville, NC Metro Area",465558,11700
"Ashland, OH Micro Area",52658,11740
"Ashtabula, OH Micro Area",97869,11780
"Astoria, OR Micro Area",40720,11820
"Atchison, KS Micro Area",16382,11860
"Athens, OH Micro Area",62933,11900
"Athens, TN Micro Area",53065,11940
"Athens, TX Micro Area",81717,11980
"Athens-Clarke County, GA Metro Area",213886,12020
