Hour ,wait.minutes,day ,month2022 ,PortName,,,
24,79,Monday ,sep,SanYsidro,,,
1,41,Monday ,sep,SanYsidro,,,
2,31,Monday ,sep,SanYsidro,,,
3,36,Monday ,sep,SanYsidro,,,
4,70,Monday ,sep,SanYsidro,,,
5,80,Monday ,sep,SanYsidro,,,
6,79,Monday ,sep,SanYsidro,,,
7,98,Monday ,sep,SanYsidro,,,
8,100,Monday ,sep,SanYsidro,,,
9,98,Monday ,sep,SanYsidro,,,
10,83,Monday ,sep,SanYsidro,,,
11,78,Monday ,sep,SanYsidro,,,
12,88,Monday ,sep,SanYsidro,,,
13,98,Monday ,sep,SanYsidro,,,
14,100,Monday ,sep,SanYsidro,,,
15,110,Monday ,sep,SanYsidro,,,
16,105,Monday ,sep,SanYsidro,,,
17,103,Monday ,sep,SanYsidro,,,
18,63,Monday ,sep,SanYsidro,,,
19,86,Monday ,sep,SanYsidro,,,
20,85,Monday ,sep,SanYsidro,,,
21,80,Monday ,sep,SanYsidro,,,
22,80,Monday ,sep,SanYsidro,,,
23,86,Monday ,sep,SanYsidro,,,
24,43,Monday ,sep,Nogales(Deconcini),,,
1,4,Monday ,sep,Nogales(Deconcini),,,
2,0,Monday ,sep,Nogales(Deconcini),,,
3,1,Monday ,sep,Nogales(Deconcini),,,
4,8,Monday ,sep,Nogales(Deconcini),,,
5,33,Monday ,sep,Nogales(Deconcini),,,
6,38,Monday ,sep,Nogales(Deconcini),,,
7,45,Monday ,sep,Nogales(Deconcini),,,
8,31,Monday ,sep,Nogales(Deconcini),,,
9,20,Monday ,sep,Nogales(Deconcini),,,
10,18,Monday ,sep,Nogales(Deconcini),,,
11,24,Monday ,sep,Nogales(Deconcini),,,
12,21,Monday ,sep,Nogales(Deconcini),,,
13,31,Monday ,sep,Nogales(Deconcini),,,
14,45,Monday ,sep,Nogales(Deconcini),,,
15,56,Monday ,sep,Nogales(Deconcini),,,
16,58,Monday ,sep,Nogales(Deconcini),,,
17,51,Monday ,sep,Nogales(Deconcini),,,
18,50,Monday ,sep,Nogales(Deconcini),,,
19,56,Monday ,sep,Nogales(Deconcini),,,
20,53,Monday ,sep,Nogales(Deconcini),,,
21,49,Monday ,sep,Nogales(Deconcini),,,
22,63,Monday ,sep,Nogales(Deconcini),,,
23,48,Monday ,sep,Nogales(Deconcini),,,
24,16,Monday ,sep,Laredo(BridgeII),,,
1,18,Monday ,sep,Laredo(BridgeII),,,
2,3,Monday ,sep,Laredo(BridgeII),,,
3,0,Monday ,sep,Laredo(BridgeII),,,
4,0,Monday ,sep,Laredo(BridgeII),,,
5,14,Monday ,sep,Laredo(BridgeII),,,
6,31,Monday ,sep,Laredo(BridgeII),,,
7,43,Monday ,sep,Laredo(BridgeII),,,
8,35,Monday ,sep,Laredo(BridgeII),,,
9,31,Monday ,sep,Laredo(BridgeII),,,
10,24,Monday ,sep,Laredo(BridgeII),,,
11,20,Monday ,sep,Laredo(BridgeII),,,
12,17,Monday ,sep,Laredo(BridgeII),,,
13,33,Monday ,sep,Laredo(BridgeII),,,
14,44,Monday ,sep,Laredo(BridgeII),,,
