Hour ,wait_min,day ,month2022 
24,79,Monday ,sep
1,41,Monday ,sep
2,31,Monday ,sep
3,36,Monday ,sep
4,70,Monday ,sep
5,80,Monday ,sep
6,79,Monday ,sep
7,98,Monday ,sep
8,100,Monday ,sep
9,98,Monday ,sep
10,83,Monday ,sep
11,78,Monday ,sep
12,88,Monday ,sep
13,98,Monday ,sep
14,100,Monday ,sep
15,110,Monday ,sep
16,105,Monday ,sep
17,103,Monday ,sep
18,63,Monday ,sep
19,86,Monday ,sep
20,85,Monday ,sep
21,80,Monday ,sep
22,80,Monday ,sep
23,86,Monday ,sep
24,89,Sunday,sep
1,53,Sunday,sep
2,14,Sunday,sep
3,23,Sunday,sep
4,29,Sunday,sep
5,40,Sunday,sep
6,63,Sunday,sep
7,51,Sunday,sep
8,64,Sunday,sep
9,61,Sunday,sep
10,76,Sunday,sep
11,86,Sunday,sep
12,96,Sunday,sep
13,108,Sunday,sep
14,114,Sunday,sep
15,110,Sunday,sep
16,150,Sunday,sep
17,125,Sunday,sep
18,126,Sunday,sep
19,121,Sunday,sep
20,121,Sunday,sep
21,129,Sunday,sep
22,133,Sunday,sep
23,121,Sunday,sep
24,86,Tuesday,sep
1,81,Tuesday,sep
2,75,Tuesday,sep
3,59,Tuesday,sep
4,81,Tuesday,sep
5,104,Tuesday,sep
6,113,Tuesday,sep
7,124,Tuesday,sep
8,131,Tuesday,sep
9,136,Tuesday,sep
10,129,Tuesday,sep
11,126,Tuesday,sep
12,126,Tuesday,sep
13,130,Tuesday,sep
14,127,Tuesday,sep
15,119,Tuesday,sep
16,108,Tuesday,sep
17,96,Tuesday,sep
18,65,Tuesday,sep
19,55,Tuesday,sep
20,50,Tuesday,sep
21,35,Tuesday,sep
22,31,Tuesday,sep
23,24,Tuesday,sep
24,20,Wednesday,sep
1,25,Wednesday,sep
2,38,Wednesday,sep
3,60,Wednesday,sep
4,79,Wednesday,sep
5,98,Wednesday,sep
6,111,Wednesday,sep
7,114,Wednesday,sep
8,124,Wednesday,sep
9,125,Wednesday,sep
10,125,Wednesday,sep
11,113,Wednesday,sep
12,113,Wednesday,sep
13,106,Wednesday,sep
14,103,Wednesday,sep
15,89,Wednesday,sep
16,78,Wednesday,sep
17,63,Wednesday,sep
18,53,Wednesday,sep
19,54,Wednesday,sep
20,48,Wednesday,sep
21,55,Wednesday,sep
22,50,Wednesday,sep
23,53,Wednesday,sep
24,42,Thrusday,sep
1,23,Thrusday,sep
2,35,Thrusday,sep
3,55,Thrusday,sep
4,84,Thrusday,sep
5,104,Thrusday,sep
6,110,Thrusday,sep
7,112,Thrusday,sep
8,116,Thrusday,sep
9,120,Thrusday,sep
10,119,Thrusday,sep
11,111,Thrusday,sep
12,105,Thrusday,sep
13,105,Thrusday,sep
14,102,Thrusday,sep
15,97,Thrusday,sep
16,91,Thrusday,sep
17,80,Thrusday,sep
18,72,Thrusday,sep
19,57,Thrusday,sep
20,44,Thrusday,sep
21,37,Thrusday,sep
22,34,Thrusday,sep
23,24,Thrusday,sep
24,13,Friday,sep
1,15,Friday,sep
2,34,Friday,sep
3,53,Friday,sep
4,78,Friday,sep
5,96,Friday,sep
6,111,Friday,sep
7,114,Friday,sep
8,110,Friday,sep
9,110,Friday,sep
10,95,Friday,sep
11,98,Friday,sep
12,100,Friday,sep
13,99,Friday,sep
14,95,Friday,sep
15,86,Friday,sep
16,49,Friday,sep
17,61,Friday,sep
18,46,Friday,sep
19,47,Friday,sep
20,50,Friday,sep
21,38,Friday,sep
22,38,Friday,sep
23,26,Friday,sep
24,15,Saturday,sep
1,16,Saturday,sep
2,18,Saturday,sep
3,21,Saturday,sep
4,21,Saturday,sep
5,44,Saturday,sep
6,50,Saturday,sep
7,44,Saturday,sep
8,48,Saturday,sep
9,45,Saturday,sep
10,51,Saturday,sep
11,60,Saturday,sep
12,69,Saturday,sep
13,67,Saturday,sep
14,81,Saturday,sep
15,108,Saturday,sep
16,115,Saturday,sep
17,115,Saturday,sep
18,115,Saturday,sep
19,113,Saturday,sep
20,105,Saturday,sep
21,110,Saturday,sep
22,110,Saturday,sep
23,104,Saturday,sep
